District,Coverage % Savings A/C Digital,Coverage % Current A/C Digital
Dhalai,100.00,100.00
Gomati,100.00,100.00
Khowai,100.00,100.00
North Tripura,100.00,100.00
Sepahijala,100.00,100.00
South Tripura,100.00,100.00
West Tripura,100.00,100.00
