District,CD RATIO December 2022,CD RATIO March 2023,CD RATIO December 2023,CD RATIO Since March 2023
Dhalai,98,96,98,+2
Gomati,67,64,71,+7
Khowai,64,63,66,+3
North Tripura,60,59,61,+2
Sepahijala,69,67,68,+1
South Tripura,65,63,67,+4
Unakoti,69,66,69,+3
West Tripura,50,47,43,-4
