District,Total Br(s),MICRO,SMALL,MEDIUM,OTHER MSME,MSME Total O/S
Aizawl,108,15090,1077,28,139,16334
Champhai,17,1763,55,0,5,1823
Hnahthial,5,270,6,0,4,280
Khawzawl,8,735,16,0,13,764
Kolasib,20,3113,37,0,24,3174
Lawngtlai,12,1471,34,0,14,1519
Lunglei,21,3529,137,0,14,3680
Mamit,13,1447,12,0,18,1477
Saiha,7,1132,18,0,0,1150
Saitual,10,939,12,0,8,959
Serchhip,15,1770,27,0,12,1809
