District,Branch Rural,Semi-Urban,Urban,Total Branch,ATM Rural,"Out Of Total CSP, Fixed Point CSP",Others
Aizawl,20,1,125,63,6,44,3
Champhai,4,10,0,36,0,32,1
Hnahthial,4,0,0,6,1,1,1
Khawzawl,5,2,0,21,1,21,0
Kolasib,6,9,0,39,0,30,0
Lawngtlai,5,4,0,56,1,43,3
Lunglei,6,15,0,20,1,10,3
Mamit,12,1,0,38,5,36,0
Saiha,1,7,0,28,0,24,1
Saitual,6,2,0,9,1,8,1
Serchhip,8,5,0,26,1,23,0
