District,City/Town,Individual (I),Group Enterprise (GE),SHG-Bl,G. Total
Aizawl,Aizawl,40,2,20,65
Lunglei,Lunglei,23,2,12,40
Saiha,Siaha,10,1,4,15
Champhai,Champhai,20,1,12,33
Kolasib,Kolasib,20,1,10,37
Serchhip,Serchhip,20,1,11,34
Lawngtlai,Lawngtlai,12,1,7,20
Mamit,Mamit,10,1,4,15
Khawzawl,Biate,2,0,0,20
Saitual,Phullen,2,0,0,17
Hnahthial,Hnahthial,10,1,0,11
