District,Block Name,Total Branch,Christians,Muslims,Buddhists,Sikhs,Zoroastrians,Jains,TOTAL
Aizawl,Tlangnuam,95,20398,696,82,5,0,1,21182
Champhai,Khawbung,3,0,0,0,0,0,0,0
Hnahthial,Hnahthial,5,200,0,0,0,0,0,200
Khawzawl,Khawzawl,8,298,1,1,0,0,0,300
Kolasib,N. Thingdawl,7,186,0,1,0,0,0,187
Lawngtlai,Sangau,2,0,0,0,0,0,0,0
Lunglei,W. Bunghmun,2,0,0,0,0,0,0,0
Mamit,Zawlnuam,8,587,6,77,0,0,0,670
Saiha,Tuipang,1,0,0,0,0,0,0,0
Saitual,Phullen,6,92,0,0,0,0,0,92
Serchhip,Serchhip,12,350,3,3,1,0,0,357
