district,Block Name,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,Tlangnuam,95,109826,140006,5702,255534
Champhai,Khawbung,3,1889,3614,228,5731
Hnahthial,Hnahthial,5,7443,8619,216,16278
Khawzawl,Khawzawl,8,7256,9909,329,17494
Kolasib,N. Thingdawl,7,4176,7301,504,11981
Lawngtlai,Sangau,2,993,1868,120,2981
Lunglei,W. Bunghmun,2,720,1227,87,2034
Mamit,Zawlnuam,8,8698,15757,259,24714
Saiha,Tuipang,1,1880,2003,227,4110
Saitual,Phullen,6,3549,4666,215,8430
Serchhip,Serchhip,12,11538,16727,619,28884
