district,Block Name,Total Br(s),Current Year Self-Help Group,NRLM O/S,NRLM Irregular,NRLM NPA
Aizawl,Tlangnuam,95,3,57,8,2
Champhai,Khawbung,3,10,244,32,2
Hnahthial,Hnahthial,5,5,11,4,0
Khawzawl,Khawzawl,8,12,219,14,15
Kolasib,N. Thingdawl,7,11,240,10,11
Lawngtlai,Sangau,2,8,98,1,3
Lunglei,W. Bunghmun,2,0,4,2,0
Mamit,Zawlnuam,8,66,208,33,21
Saiha,Tuipang,1,0,159,12,23
Saitual,Phullen,6,0,0,0,0
Serchhip,Serchhip,12,20,238,35,7
