District,Block Name,Total Br,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit &,USSD
Aizawl,Tlangnuam,95,217899421,2046,41895,15572560,165266,30536
Champhai,Khawbung,3,222,0,0,222,0,0
Hnahthial,Hnahthial,5,27599,28,528,443,97,0
Khawzawl,Khawzawl,8,47356,47,910,792,366,0
Kolasib,N. Thingdawl,7,18059,6,126,1965,2029,0
Lawngtlai,Sangau,2,81,0,0,81,0,0
Lunglei,W. Bunghmun,2,55,0,0,55,0,0
Mamit,Zawlnuam,8,60009,61,1157,927,391,0
Saiha,Tuipang,1,88,0,0,88,0,0
Saitual,Phullen,6,28104,28,540,345,180,0
Serchhip,Serchhip,12,111532,83,1565,5068,1400,0
