district,Block Name,Total Br(s),Smalland Marginal Farmers No.,Amt.,Scheduled Castes No.,Scheduled Tribes No.,DRI scheme No.,Self Help Groups No.,Womenbeneficiaries No.,Minoritycommunities No.,PMJDY No.,Others No.
Aizawl,Tlangnuam,95,13936,8812.65,65,15939,6,178,9865,3985,91,7766
Champhai,Khawbung,3,1124,0.00,0,0,0,317,236,0,0,0
Hnahthial,Hnahthial,5,1072,0.00,1,200,0,43,196,292,0,0
Khawzawl,Khawzawl,8,2522,29.84,0,298,0,285,579,353,0,13
Kolasib,N. Thingdawl,7,2535,0.00,0,0,0,267,445,0,0,0
Lawngtlai,Sangau,2,639,0.00,0,0,0,102,99,0,0,0
Lunglei,W. Bunghmun,2,460,0.00,0,0,0,8,59,0,0,0
Mamit,Zawlnuam,8,1421,45.30,0,643,0,237,431,274,0,14
Saiha,Tuipang,1,618,0.00,0,0,0,160,116,0,0,0
Saitual,Phullen,6,1918,2.44,0,92,0,47,518,219,0,6
Serchhip,Serchhip,12,2894,41.97,0,275,0,267,511,380,0,35
