District,Total Br,Agri,Edn,Housing,Personal,Other NPS,Total NPS
Aizawl,108,2,1,34,290,1287,1614
Champhai,17,0,0,2,26,29,57
Hnahthial,5,0,0,0,5,2,7
Khawzawl,8,0,0,0,6,3,9
Kolasib,20,0,0,0,37,169,206
Lawngtlai,12,0,0,16,61,40,117
Lunglei,21,0,0,1,44,53,98
Mamit,13,0,0,1,25,14,40
Saiha,7,0,0,4,105,38,147
Saitual,10,0,0,0,1,3,4
Serchhip,15,0,0,0,16,8,24
