District,Block Name,Total Branch,No. of Operative CASA,No. of Aadhaar Seeded CASA,No. of Authenticated CASA
Aizawl,Tlangnuam,95,397290,267835,134924
Champhai,Khawbung,3,7401,5273,0
Hnahthial,Hnahthial,5,15546,10311,3641
Khawzawl,Khawzawl,8,20182,13965,3362
Kolasib,N. Thingdawl,7,28746,20613,384
Lawngtlai,Sangau,2,5228,3785,0
Lunglei,W. Bunghmun,2,3198,2544,0
Mamit,Zawlnuam,8,25006,14904,3817
Saiha,Tuipang,1,2591,1475,0
Saitual,Phullen,6,14427,9976,2325
Serchhip,Serchhip,12,36239,25273,4066
