District,Total Br,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,108,5514,1198,1,39,6752
Champhai,17,275,1547,0,2,1824
Hnahthial,5,31,86,0,0,117
Khawzawl,8,79,228,0,0,307
Kolasib,20,178,255,3,73,509
Lawngtlai,12,374,919,0,2,1295
Lunglei,21,78,317,0,0,395
Mamit,13,39,286,0,0,325
Saiha,7,188,1111,0,0,1299
Saitual,10,56,166,0,0,222
Serchhip,15,44,446,0,0,490
