district,Total Br(s),Export No.,Amt.,Education No.,Amt.,Housing No.,Amt.,Social Infra. No.,Amt.,Renew- able No.,Amt.,Others No.,Amt.,Total Other PS O/S No.,Amt.
Aizawl,108,0,54289.31,203,54289.31,5891,54289.31,0,54289.31,0,54289.31,6705,54289.31,12799,54289.31
Champhai,17,0,4813.32,7,4813.32,664,4813.32,0,4813.32,0,4813.32,478,4813.32,1149,4813.32
Hnahthial,5,0,1312.15,0,1312.15,154,1312.15,0,1312.15,0,1312.15,0,1312.15,154,1312.15
Khawzawl,8,0,2143.57,3,2143.57,259,2143.57,0,2143.57,0,2143.57,0,2143.57,262,2143.57
Kolasib,20,0,8044.73,9,8044.73,795,8044.73,0,8044.73,0,8044.73,2957,8044.73,3761,8044.73
Lawngtlai,12,0,15981.20,15,15981.20,2165,15981.20,0,15981.20,0,15981.20,0,15981.20,2180,15981.20
Lunglei,21,0,15338.01,13,15338.01,2008,15338.01,0,15338.01,0,15338.01,501,15338.01,2522,15338.01
Mamit,13,0,3816.03,0,3816.03,480,3816.03,0,3816.03,0,3816.03,1,3816.03,481,3816.03
Saiha,7,0,12122.66,6,12122.66,1655,12122.66,0,12122.66,0,12122.66,0,12122.66,1661,12122.66
Saitual,10,0,1249.62,1,1249.62,192,1249.62,0,1249.62,0,1249.62,0,1249.62,193,1249.62
Serchhip,15,0,6440.43,6,6440.43,787,6440.43,0,6440.43,0,6440.43,1,6440.43,794,6440.43
