district,period,annual_credit_plan__ach,annual_credit_plan__agrl_term_loans_including_trgt,annual_credit_plan__agrl_term_loans_trgt,annual_credit_plan__education_loans_trgt,annual_credit_plan__export_credit_trgt,annual_credit_plan__export_credit_trgt_2,annual_credit_plan__housing_loans_trgt,annual_credit_plan__msme_trgt,annual_credit_plan__no,annual_credit_plan__non_priority_sector_trgt,annual_credit_plan__others_under_priority_sector_trgt,annual_credit_plan__others_under_priority_trgt,annual_credit_plan__renewable_trgt_1,annual_credit_plan__short_term_crop_production_trgt,annual_credit_plan__social_infrastructure_trgt_6,annual_credit_plan__target,annual_credit_plan__total_agriculture_trgt,annual_credit_plan__total_credit_trgt,annual_credit_plan__total_priority_sector_trgt,branch_network__branch_metro,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__no_of_branches_rural,branch_network__total_branch,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit,priority_sector__agr,priority_sector__agr_infra,priority_sector__agrl_ter_m_loans,priority_sector__agrl_term,priority_sector__ancillary,priority_sector__ancillary_activities,priority_sector__export,priority_sector__farm,priority_sector__farm_credit,priority_sector__msme,priority_sector__others_under,priority_sector__others_under_priority,priority_sector__short_term,priority_sector__short_term_production_loans,priority_sector__total_agrl,priority_sector__total_agrl_advance,priority_sector__total_priority,priority_sector__total_priority_sector,shg__jlg_financing,shg__shg_credit_linkage
Srikakulam,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,90.52,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,92.67,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,106.2,,,,,,,,,,,,,,,,,,,,,,
East Godavari,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,117.89,,,,,,,,,,,,,,,,,,,,,,
West Godavari,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,140.01,,,,,,,,,,,,,,,,,,,,,,
Krishna,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,133.4,,,,,,,,,,,,,,,,,,,,,,
Guntur,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,142.11,,,,,,,,,,,,,,,,,,,,,,
Prakasam,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,158.8,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,137.86,,,,,,,,,,,,,,,,,,,,,,
Chittoor,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,64.16,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,112.48,,,,,,,,,,,,,,,,,,,,,,
Kurnool,June 2018,,,,,,,,,,,,,,,,,,,,,,,,,113.53,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,93.28,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,100.88,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,122.25,,,,,,,,,,,,,,,,,,,,,,
East Godavari,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,120.87,,,,,,,,,,,,,,,,,,,,,,
West Godavari,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,146.26,,,,,,,,,,,,,,,,,,,,,,
Krishna,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,128.98,,,,,,,,,,,,,,,,,,,,,,
Guntur,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,145.15,,,,,,,,,,,,,,,,,,,,,,
Prakasam,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,164.28,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,141.37,,,,,,,,,,,,,,,,,,,,,,
Chittoor,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,64.83,,,,,,,,,,,,,,,,,,,,,,
Y.s.r.,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,106.37,,,,,,,,,,,,,,,,,,,,,,
Kurnool,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,119.12,,,,,,,,,,,,,,,,,,,,,,
Srikakulam,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,106.48,,,,,,,,,,,,,,,,,,,,,,
Vizianagaram,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,117.64,,,,,,,,,,,,,,,,,,,,,,
Visakhapatanam,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,131.13,,,,,,,,,,,,,,,,,,,,,,
East Godavari,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,123.51,,,,,,,,,,,,,,,,,,,,,,
West Godavari,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,150.93,,,,,,,,,,,,,,,,,,,,,,
Krishna,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,148.11,,,,,,,,,,,,,,,,,,,,,,
Guntur,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,139.73,,,,,,,,,,,,,,,,,,,,,,
Prakasam,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,169.17,,,,,,,,,,,,,,,,,,,,,,
Spsr Nellore,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,138.74,,,,,,,,,,,,,,,,,,,,,,
Chittoor,March 2019,,,,,,,,,,,,,,,,,,,,,,,,,69.71,,,,,,,,,,,,,,,,,,,,,,
