District,shg_credit_linkage,jlg_financing
Anantapur,50000.0,200.0
Chittoor,60000.0,150.0
East Godavari,70000.0,6000.0
Guntur,60000.0,1000.0
Krishna,60000.0,11100.0
Kurnool,40000.0,550.0
Prakasam,50000.0,1600.0
Spsr Nellore,40000.0,100.0
Srikakulam,30000.0,1900.0
Visakhapatanam,30000.0,500.0
Vizianagaram,30000.0,550.0
West Godavari,50000.0,16200.0
Y.s.r.,30000.0,150.0
