District,cd_ratio
Chittoor,85.53
East Godavari,130.76
Guntur,149.98
Krishna,147.57
Kurnool,126.34
Prakasam,164.78
Spsr Nellore,148.85
Srikakulam,97.8
Visakhapatanam,119.66
Vizianagaram,97.8
West Godavari,147.02
Y.s.r.,112.88
