district,Amt Export,No Export,Amt Other MSME,No MSME Other,Amt KVIC,No KVIC,Amt Medium,No Medium,Amt Small,No Small,Amt Micro,No Micro,Amt Ancillary,No Ancillary,Agri Amt Infra,No Infra Agri,Amt Loan Term,No Loan Term,Crop Amt,No Crop
East Garo Hills,0,0,67.26,87,14.4,19,0,0,0.05,1,205.64,109,1.28,2,293.92,455,38.62,171,1008.31,2463
East Jaintia Hills,0,0,2.5,18,17.35,4,0,0,158.22,4,1549.84,242,12,14,69.55,134,312.72,29,27.75,28
East Khasi Hills,0,0,283.04,90,521.94,126,6515.37,5,3147.32,183,13884.53,5215,5563,120,1394.42,765,309.27,308,2499.51,3825
North Garo Hills,0,0,16.35,27,0,0,0,0,0.47,1,72.93,47,10.65,5,805.52,1005,0.31,3,963.36,1978
South Garo Hills,0,0,106.9,28,0.94,2,0,0,0,0,52.84,54,0,0,388.69,281,0.51,2,200.73,392
South West Garo Hills,0,0,127.45,97,0,0,0,0,0,0,103.41,82,0,0,258.69,634,33.7,59,994.33,2424
South West Khasi Hills,0,0,9.89,25,5.46,3,0,0,0,0,35.9,26,0,0,59.65,32,31.68,24,201.54,461
West Garo Hills,0,0,195.53,174,18.95,13,0,0,643.28,207,532.43,562,0.03,1,1728.88,956,83.25,297,1670.28,3855
West Jaintia Hills,0,0,3.43,46,69.64,21,0,0,777.12,147,957.9,685,89.37,19,249.33,154,79,84,1185.79,1912
West Khasi Hills,0,0,175.9,93,65.03,43,0,0,104.99,9,686.34,305,20,7,292.46,237,48.99,133,2041.73,3485
