district,Tarun Amt npa,os Amt Tarun,No Tarun npa,os No Tarun,Amt Kishore npa,Amt Kishore os,No Kishore npa,os no Kishore,Sishu amt npa,amt Sishu os,Sishu No npa,No Sishu os
East Garo Hills,14.88,250.3,3,56,115.56,336.3,56,192,7.12,54.65,25,213
East Jaintia Hills,16.97,222.03,3,33,9,133.07,7,69,7.56,51.25,23,190
East Khasi Hills,733.68,4178.68,56,724,780.69,3697.44,875,3257,657.59,1794.88,3144,8048
North Garo Hills,0.91,165.67,1,33,65.97,296.25,40,166,0.78,6.37,5,24
Ri Bhoi,76.47,788.15,17,183,304.45,1344.92,373,1059,305.5,474.03,1522,2180
South Garo Hills,0,92.87,0,19,31.79,112.03,21,85,7.88,23.1,27,79
South West Garo Hills,8.6,231.5,3,61,55.57,372.55,42,265,4.42,27.49,18,109
South West Khasi Hills,0,28.94,0,4,18.37,117.18,10,58,2.03,12.3,9,43
West Garo Hills,188.66,1460.34,32,276,156.72,1315.2,126,806,45.77,258.02,151,953
West Jaintia Hills,76.13,735.8,10,125,120.96,1462.34,106,824,106.85,297.13,521,1312
West Khasi Hills,64.04,264.39,11,45,149.5,534.16,109,311,26.76,123.21,78,400
