district,Rural No,Urban No,Male No,Female No,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Acti- vated,No of Aadhaar Seeded
East Garo Hills,16963,6630,9274,14319,1350,646.78,23280,17538,305
East Jaintia Hills,32053,1582,12840,20795,1277,2322.66,17897,9816,356
East Khasi Hills,88311,53517,59889,81939,28870,80612.24,73764,45653,20591
North Garo Hills,36985,3371,17008,23348,623,898.38,38099,30926,117
REBHOI,39634,9356,20611,28379,2125,5071.09,26697,12127,2075
South Garo Hills,10777,2333,5483,7627,725,984.1,10909,8586,201
South West Garo Hills,37836,3546,17878,23504,1200,1347.19,34233,22236,801
South West Khasi Hills,17724,2692,6890,13526,1268,2250.63,12799,10046,257
West Garo Hills,127467,17770,60718,84519,5413,6104.07,132813,94261,5156
West Jaintia Hills,46846,13431,19274,41003,2974,17127.29,33706,17190,1668
West Khasi Hills,55935,11036,27908,39063,2009,8428.54,27979,10223,3092
