district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt,OS No,OS Amt,Disb No,Disb Amt
East Garo Hills,13,19.75,381,566.6,258,111.1,3518,4313.88,3739,4957.13,680,917.67
East Jaintia Hills,3,2.9,14,13.1,1098,586.91,4267,8806.8,1638,3483.85,257,399.54
East Khasi Hills,556,682.51,3451,5000.32,7860,9855.92,59210,194755.27,60717,103375.85,10867,14775.81
North Garo Hills,14,22.18,449,658.67,291,293.59,7059,4067.13,2749,3477.73,374,465.74
Ri Bhoi,236,427.27,1323,3541.73,2902,2631.54,21664,24529.9,25127,30649.73,3477,3613.02
South Garo Hills,4,6.34,25,35.64,218,256.27,3188,3483.41,872,2007.38,227,309.09
South West Garo Hills,35,60.57,980,373.26,569,666.44,3470,5369.22,3290,3508.54,679,626.87
South West Khasi Hills,2,3.45,15,27.68,353,316.37,2670,3438.91,1789,2139.05,261,373.23
West Garo Hills,78,156.67,643,1906.38,1039,1298.68,13975,19056.01,11027,22169.01,2486,3695.05
West Jaintia Hills,75,239.71,892,2509.01,1312,1885.85,12317,32628.25,8783,11680.16,2432,4109.94
West Khasi Hills,0,0,8,24.64,1620,1488.58,15633,15337.69,9129,9719.34,1439,1324.68
