district,pmjjby_no_of_pmjjby_claims_received_during_fy_2024_25_as_on,total_cum_no_of_pmjjby_claims_received_upto_31_03_2025,no_of_pmjjby_claims_settled_during_fy_2024_25_as_on_31_03_20,total_cum_no_of_pmjjby_claims_settled_upto_31_03_2025,pmsby_no_of_pmsby_claims_received_during_fy_2024_25_as_on_31,total_cum_no_of_pmsby_claims_received_upto_31_03_2025,no_of_pmsby_claims_settled_during_fy_2024_25_as_on_31_03_202,total_cum_no_of_pmsby_claims_settled_upto_31_03_2025
Araria,223,855,221,829,11,69,7,55
Arwal,49,170,48,166,14,61,13,48
Aurangabad,100,411,98,381,32,121,23,88
Banka,129,574,129,504,15,73,11,37
Begusarai,163,809,161,751,33,165,24,111
Bhagalpur,154,794,133,695,27,124,23,83
Bhojpur,138,715,139,665,40,147,24,106
Buxar,114,512,114,464,26,99,18,84
Darbhanga,199,1018,196,972,8,69,8,48
Gaya,168,693,150,630,48,152,30,105
Gopalganj,203,829,198,789,19,89,5,53
Jamui,145,526,151,459,23,99,16,84
Jehanabad,75,325,75,306,16,82,8,42
Kaimur (Bhabua),77,343,76,303,25,95,18,72
Katihar,102,469,110,455,10,57,15,34
Khagaria,113,390,112,379,13,69,10,63
Kishanganj,169,498,168,491,4,33,5,23
Lakhisarai,80,276,82,258,23,75,9,62
Madhepura,225,739,225,700,9,50,10,34
Madhubani,179,692,173,649,22,213,13,71
Munger,94,395,93,380,11,81,8,59
Muzaffarpur,266,1413,256,1351,42,235,16,170
Nalanda,140,563,139,548,35,177,29,132
Nawada,120,477,121,448,35,102,24,83
Pashchim Champaran,271,1280,281,1219,15,90,4,74
Patna,274,1553,248,1446,69,274,52,209
Purbi Champaran,382,1705,387,1654,28,108,14,127
Purnia,402,1679,408,1644,23,70,9,55
Rohtas,133,644,131,591,27,156,23,97
Saharsa,221,780,219,763,18,54,10,32
Samastipur,178,1019,177,935,21,145,21,104
Saran,252,1048,251,1005,47,172,22,106
Sheikhpura,75,207,71,194,13,66,10,53
Sheohar,13,69,11,64,1,17,1,16
Sitamarhi,166,666,173,639,23,93,9,52
Siwan,175,791,181,762,21,111,11,79
Supaul,111,541,113,517,10,64,8,43
Vaishali,183,862,202,828,29,113,12,74
