District,Col_1,Col_2,Col_3,Col_4,Col_5
Araria,STATE,BANK,OF,INDIA,10/03/2025
Arwal,PUNJAB,NATIONAL,BANK,07/03/2025,
Aurangabad,PUNJAB,NATIONAL,BANK,19/03/2025,
Banka,UCO,BANK,26/03/2025,,
Begusarai,UCO,BANK,28/02/2025,,
Bhagalpur,UCO,BANK,27/03/2025,,
Bhojpur,PUNJAB,NATIONAL,BANK,11/02/2025,
Buxar,PUNJAB,NATIONAL,BANK,26/03/2025,
Darbhanga,CENTRAL,BANK,OF,INDIA,13/02/2025
Gaya,PUNJAB,NATIONAL,BANK,28/01/2025,
Gopalganj,CENTRAL,BANK,OF,INDIA,26/03/2025
Jamui,STATE,BANK,OF,INDIA,27/02/2025
Jehanabad,PUNJAB,NATIONAL,BANK,28/02/2025,
Kaimur (Bhabua),PUNJAB,NATIONAL,BANK,20/03/2025,
Katihar,CENTRAL,BANK,OF,INDIA,18/03/2025
Khagaria,UNION,BANK,OF,INDIA,28/01/2025
Kishanganj,STATE,BANK,OF,INDIA,19/03/2025
Lakhisarai,PUNJAB,NATIONAL,BANK,05/03/2025,
Madhepura,STATE,BANK,OF,INDIA,21/03/2025
Madhubani,CENTRAL,BANK,OF,INDIA,10/02/2025
Munger,UCO,BANK,NOT,HELD,
Muzaffarpur,CENTRAL,BANK,OF,INDIA,26/03/2025
Nalanda,PUNJAB,NATIONAL,BANK,19/03/2025,
Nawada,PUNJAB,NATIONAL,BANK,19/02/2025,
Pashchim Champaran,CENTRAL,BANK,OF,INDIA,27/03/2025
Patna,PUNJAB,NATIONAL,BANK,04/03/2025,
Purbi Champaran,CENTRAL,BANK,OF,INDIA,19/03/2025
Purnia,STATE,BANK,OF,INDIA,30/01/2025
Rohtas,PUNJAB,NATIONAL,BANK,17/03/2025,
Saharsa,STATE,BANK,OF,INDIA,24/02/2025
Samastipur,UNION,BANK,OF,INDIA,25/02/2025
Saran,CENTRAL,BANK,OF,INDIA,08/03/2025
Sheikhpura,CANARA,BANK,07/03/2025,,
Sheohar,BANK,OF,BARODA,12/03/2025,
Sitamarhi,BANK,OF,BARODA,28/02/2025,
Siwan,CENTRAL,BANK,OF,INDIA,19/03/2025
Supaul,STATE,BANK,OF,INDIA,11/02/2025
Vaishali,CENTRAL,BANK,OF,INDIA,21/03/2025
