District,TARGET No.,Amt.,DISBURSED No.,Amt.,% ACHIEVEMENT No.,Amt.
Araria,2387,102.11,417,4.15,17.47,4.06
Arwal,745,31.47,132,1.62,17.72,5.15
Aurangabad,3635,155.92,972,8.16,26.74,5.23
Banka,1281,54.69,228,1.76,17.80,3.22
Begusarai,2318,99.22,185,5.48,7.98,5.52
Bhagalpur,2034,86.94,556,6.07,27.34,6.98
Bhojpur,1987,84.88,125,1.57,6.29,1.85
Buxar,1182,50.48,31,0.29,2.62,0.57
Darbhanga,2635,112.59,260,4.64,9.87,4.12
Gaya,4032,172.93,721,5.92,17.88,3.42
Gopalganj,1478,63.16,409,8.6,27.67,13.62
Jamui,837,35.57,210,2.07,25.09,5.82
Jehanabad,946,40.37,99,1.01,10.47,2.50
Kaimur (Bhabua),1994,85.49,66,0.9,3.31,1.05
Katihar,1818,77.73,882,9.32,48.51,11.99
Khagaria,363,15.10,79,1.27,21.76,8.41
Kishanganj,1756,75.28,502,4.1,28.59,5.45
Lakhisarai,1836,78.42,41,0.41,2.23,0.52
Madhepura,1178,50.14,141,2.15,11.97,4.29
Madhubani,3198,136.96,735,13.51,22.98,9.86
Munger,2100,90.14,171,1.21,8.14,1.34
Muzaffarpur,4326,185.39,555,19.71,12.83,10.63
Nalanda,2890,123.66,187,3.83,6.47,3.10
Nawada,734,31.26,113,2.67,15.40,8.54
Pashchim Champaran,3135,134.58,195,4.39,6.22,3.26
Patna,7808,335.18,509,12.09,6.52,3.61
Purbi Champaran,1681,71.93,437,6.27,26.00,8.72
Purnia,2566,109.83,821,10.77,32.00,9.81
Rohtas,2002,85.70,188,2.69,9.39,3.14
Saharsa,666,28.12,152,1.09,22.82,3.88
Samastipur,3742,160.46,230,8.18,6.15,5.10
Saran,2836,121.44,520,5.2,18.34,4.28
Sheikhpura,734,31.03,67,0.99,9.13,3.19
Sheohar,583,24.48,18,0.37,3.09,1.51
Sitamarhi,2303,98.66,275,7.34,11.94,7.44
Siwan,3448,147.72,482,7.59,13.98,5.14
Supaul,946,40.32,72,1.36,7.61,3.37
Vaishali,2840,121.79,504,10.83,17.75,8.89
