district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,212,811.51,91062,811.51,29,811.51,90,811.51,2,811.51,129,811.51,91524,811.51
Arwal,38,29.36,2898,29.36,11,29.36,31,29.36,0,29.36,16,29.36,2994,29.36
Aurangabad,122,151.60,11648,151.60,35,151.60,90,151.60,7,151.60,84,151.60,11986,151.60
Banka,102,105.70,12813,105.70,24,105.70,81,105.70,1,105.70,22,105.70,13043,105.70
Begusarai,158,323.58,39224,323.58,1198,323.58,109,323.58,2,323.58,91,323.58,40782,323.58
Bhagalpur,208,458.45,40664,458.45,503,458.45,132,458.45,2,458.45,74,458.45,41583,458.45
Bhojpur,152,208.12,36032,208.12,46,208.12,102,208.12,0,208.12,65,208.12,36397,208.12
Buxar,57,77.39,6959,77.39,28,77.39,84,77.39,1,77.39,43,77.39,7172,77.39
Darbhanga,258,480.77,39138,480.77,759,480.77,95,480.77,4,480.77,61,480.77,40315,480.77
Gaya,3722,648.48,87646,648.48,19213,648.48,1682,648.48,384,648.48,203,648.48,112850,648.48
Gopalganj,131,259.93,22062,259.93,93,259.93,114,259.93,3,259.93,63,259.93,22466,259.93
Jamui,264,126.85,13061,126.85,49,126.85,123,126.85,1,126.85,40,126.85,13538,126.85
Jehanabad,6,50.94,4306,50.94,6,50.94,14,50.94,0,50.94,8,50.94,4340,50.94
Kaimur (Bhabua),41,100.66,8003,100.66,23,100.66,41,100.66,1,100.66,33,100.66,8142,100.66
Katihar,1087,926.07,85297,926.07,71,926.07,250,926.07,2,926.07,45,926.07,86752,926.07
Khagaria,70,92.96,9314,92.96,30,92.96,65,92.96,5,92.96,30,92.96,9514,92.96
Kishanganj,684,1135.43,116016,1135.43,42,1135.43,53,1135.43,0,1135.43,106,1135.43,116901,1135.43
Lakhisarai,21,26.01,2887,26.01,4,26.01,41,26.01,9,26.01,19,26.01,2981,26.01
Madhepura,123,169.25,30812,169.25,59,169.25,71,169.25,0,169.25,72,169.25,31137,169.25
Madhubani,181,398.24,44717,398.24,48,398.24,79,398.24,2,398.24,49,398.24,45076,398.24
Munger,109,100.90,7362,100.90,23,100.90,107,100.90,3,100.90,28,100.90,7632,100.90
Muzaffarpur,718,718.68,95250,718.68,1102,718.68,580,718.68,5,718.68,209,718.68,97864,718.68
Nalanda,184,152.44,11594,152.44,205,152.44,85,152.44,4,152.44,54,152.44,12126,152.44
Nawada,72,117.59,12129,117.59,58,117.59,20,117.59,0,117.59,43,117.59,12322,117.59
Pashchim Champaran,547,461.30,41635,461.30,103,461.30,177,461.30,3,461.30,101,461.30,42566,461.30
Patna,1552,1893.93,317616,1893.93,2415,1893.93,800,1893.93,20,1893.93,266,1893.93,322669,1893.93
Purbi Champaran,350,746.26,87209,746.26,663,746.26,288,746.26,217,746.26,165,746.26,88892,746.26
Purnia,749,1190.87,114240,1190.87,282,1190.87,148,1190.87,5,1190.87,94,1190.87,115518,1190.87
Rohtas,135,196.87,15566,196.87,89,196.87,426,196.87,12,196.87,59,196.87,16287,196.87
Saharsa,235,197.08,21387,197.08,37,197.08,76,197.08,1,197.08,16,197.08,21752,197.08
Samastipur,313,309.56,28867,309.56,139,309.56,271,309.56,6,309.56,115,309.56,29711,309.56
Saran,214,247.73,22226,247.73,125,247.73,244,247.73,8,247.73,79,247.73,22896,247.73
Sheikhpura,98,35.70,2633,35.70,50,35.70,93,35.70,3,35.70,27,35.70,2904,35.70
Sheohar,11,42.67,4459,42.67,38,42.67,32,42.67,1,42.67,11,42.67,4552,42.67
Sitamarhi,131,268.46,23522,268.46,144,268.46,281,268.46,0,268.46,51,268.46,24129,268.46
Siwan,1381,718.45,155735,718.45,292,718.45,200,718.45,4,718.45,68,718.45,157680,718.45
Supaul,336,197.86,16768,197.86,82,197.86,77,197.86,1,197.86,31,197.86,17295,197.86
Vaishali,726,992.10,334724,992.10,320,992.10,267,992.10,9,992.10,105,992.10,336151,992.10
