District,"No of cases pending as on
31.12.2024 No.",Amt.,"No. of cases filed during the
quarter March 2025 No.",Amt.,"No. of cases disposed during
the quarter March 2025 No.",Amt.,"No. of cases pending as at
the end of the quarter
31.03.2025 No.",Amt.,"Cases pending for 6 months
or more as on 31.03.2025 No.",Amt.
Araria,22,3,5,9,4,1,23,11,3,0.75
Arwal,7,2,5,1,2,0,10,2,4,1.06
Aurangabad,13,5,6,1,1,1,18,5,12,3.53
Banka,3,1,1,0,4,1,0,0,0,0
Begusarai,13,2,11,4,8,1,16,5,10,2.21
Bhagalpur,21,20,18,4,9,2,30,22,15,19.45
Bhojpur,17,14,6,2,12,13,11,3,6,2.14
Buxar,3,0,7,2,4,0,6,2,3,0.32
Darbhanga,34,9,14,15,9,4,39,21,7,2.32
Gaya,14,4,18,4,10,1,22,6,8,1.85
Gopalganj,30,4,2,1,9,1,23,3,9,0.47
Jamui,4,0,1,0,1,0,4,0,1,0.05
Jehanabad,5,1,4,2,3,1,6,2,2,0.5
Kaimur (Bhabua),2,1,11,8,6,1,7,8,0,0
Katihar,10,1,6,0,5,1,11,1,5,0.15
Khagaria,7,2,4,1,3,1,8,2,5,1.64
Kishanganj,31,3,6,1,8,1,29,3,4,0.33
Lakhisarai,8,2,0,0,5,1,3,1,2,0.84
Madhepura,10,2,3,0,1,0,12,2,3,1
Madhubani,9,3,5,1,2,1,12,3,5,1.67
Munger,12,6,12,5,3,1,21,9,8,5.1
Muzaffarpur,71,8,23,6,26,5,68,9,15,2.57
Nalanda,43,4,11,7,2,5,52,7,29,5.82
Nawada,4,1,2,0,0,0,6,2,19,15.37
Pashchim Champaran,34,6,10,2,9,3,35,5,4,1.02
Patna,56,37,36,22,43,39,49,20,2,0.28
Purbi Champaran,43,9,19,10,25,5,37,14,4,0.69
Purnia,59,14,28,7,11,4,76,17,25,10.9
Rohtas,65,7,11,5,10,1,66,11,44,3.45
Saharsa,28,6,1,0,12,2,17,4,3,0.42
Samastipur,11,3,7,2,6,1,12,3,1,0.63
Saran,35,4,5,1,11,1,29,4,4,0.97
Sheikhpura,4,1,1,0,1,0,4,1,2,0.56
Sheohar,18,3,4,1,1,0,21,3,1,0.84
Sitamarhi,8,1,5,1,4,0,9,1,3,0.5
Siwan,30,4,1,0,13,2,18,2,2,0.3
Supaul,8,1,3,1,2,0,9,1,2,0.46
Vaishali,62,10,16,5,31,7,47,8,10,1.67
