district,agri_crop_loan_no,agri_crop_loan,agri_term_loan_no,agri_term_loan,agri_total_farm_credit_no,agri_total_farm_credit,agri_infrastructure_no,agri_infrastructure,agri_ancillary_no,agri_ancillary,agri_total_no,agri_total
Araria,97171,1085.43,116038,705.27,72261,388.84,54,17.88,1823,246.09,215086,2054.67
Arwal,19574,251.74,18620,209.48,5834,37.63,11,7.46,547,33.22,38752,501.90
Aurangabad,84733,713.98,95869,773.53,37817,174.98,75,13.19,1928,534.52,182605,2035.21
Banka,75621,606.92,75035,436.88,50964,203.69,52,6.17,2086,292.87,152794,1342.83
Begusarai,159582,1273.49,194565,1354.06,127238,520.21,82,49.96,3319,292.04,357548,2969.55
Bhagalpur,95992,839.35,128290,919.52,64457,307.95,80,20.89,3462,196.62,227824,1976.38
Bhojpur,92570,528.52,210089,1167.55,68438,274.14,157,17.03,1691,357.40,304507,2070.51
Buxar,69421,572.95,67762,508.03,31318,142.90,83,6.99,1706,277.16,138972,1365.13
Darbhanga,71055,779.49,242591,1185.96,202434,852.97,113,8.38,3383,259.79,317142,2233.62
Gaya,140481,1244.00,547313,2392.65,97507,507.89,214,10.84,5423,456.05,693431,4103.53
Gopalganj,131698,1473.86,122554,684.90,108645,588.87,16,0.43,1964,119.63,256232,2278.81
Jamui,85814,650.82,47973,428.06,25323,116.55,10,2.54,1140,207.41,134937,1288.82
Jehanabad,27503,353.69,29567,328.40,8476,61.63,22,0.54,1001,76.24,58093,758.87
Kaimur (Bhabua),62803,583.98,52681,574.92,24977,105.40,68,9.53,1478,458.88,117030,1627.30
Katihar,96712,1223.37,184710,1139.68,162994,1033.57,96,33.66,2633,267.20,284151,2663.91
Khagaria,93901,620.84,80135,721.13,53701,242.04,38,15.33,1414,87.69,175488,1444.99
Kishanganj,70039,778.41,72232,538.60,48955,336.59,26,39.46,2131,145.46,144428,1501.93
Lakhisarai,48474,384.60,33073,291.21,20030,88.37,21,0.90,888,144.57,82456,821.27
Madhepura,46888,609.72,155262,818.93,125702,423.06,77,7.64,1914,198.38,204141,1634.68
Madhubani,115536,1197.33,192111,1155.15,96423,436.96,91,13.40,2609,148.31,310347,2514.19
Munger,46799,320.08,39854,319.32,25473,116.41,21,5.65,1057,147.46,87731,792.51
Muzaffarpur,199852,1987.05,364532,1932.53,237405,1023.84,353,44.46,8049,669.68,572786,4633.73
Nalanda,95267,744.68,81808,963.98,40294,257.80,89,14.24,1943,377.37,179107,2100.27
Nawada,89488,647.39,61741,700.15,25175,120.92,62,3.51,1834,318.87,153125,1669.92
Pashchim Champaran,154914,1523.77,160915,1095.35,107982,571.99,70,19.61,2164,258.45,318063,2897.17
Patna,138854,1079.76,1496628,5351.10,700381,2190.80,554,135.55,11998,6749.19,1648034,13315.60
Purbi Champaran,245581,2302.42,265597,1771.91,200536,1058.79,47,19.16,10169,573.89,521394,4667.38
Purnia,123311,1309.06,145182,1085.66,95745,536.44,359,110.51,2723,399.81,271575,2905.04
Rohtas,105109,1004.86,86861,797.57,38768,179.14,166,36.05,2792,710.79,194928,2549.27
Saharsa,55914,647.38,77938,613.95,46321,206.14,28,4.60,4253,199.85,138133,1465.78
Samastipur,185921,1526.16,211663,1565.61,112319,582.86,115,70.57,4261,303.37,401960,3465.71
Saran,96528,1282.85,211852,1183.87,169726,724.67,34,3.92,4553,272.90,312967,2743.53
Sheikhpura,32956,289.37,17975,156.38,11053,77.91,13,0.64,484,79.24,51428,525.63
Sheohar,23873,222.86,21566,239.38,11781,130.10,7,0.83,891,48.47,46337,511.54
Sitamarhi,93288,922.80,95467,848.23,50276,467.64,106,11.59,4697,194.01,193558,1976.62
Siwan,146062,1273.66,548980,2114.63,154366,798.18,164,15.30,3192,445.65,698398,3849.25
Supaul,78248,807.69,54051,585.91,36735,254.57,32,2.11,2789,72.42,135120,1468.13
Vaishali,276358,1874.42,1130416,3501.82,133062,758.27,95,20.06,6462,339.74,1413331,5736.05
