District,KCC - FISHERIES NEW TARGET NO.,AMT,Disbursed No.,% Achievement No.,KCC - FISHERIES RENEW TARGET NO.,TOTAL FISHERIES - AH (NEW+RENEW) TARGET NO.
Araria,1512,7.56,23,1.52,46,1558
Arwal,798,3.99,2,0.25,24,822
Aurangabad,2630,13.15,8,0.30,82,2712
Banka,746,3.73,3,0.40,24,770
Begusarai,3950,19.75,7,0.18,122,4072
Bhagalpur,1144,5.72,26,2.27,36,1180
Bhojpur,2088,10.44,7,0.34,64,2152
Buxar,1144,5.72,19,1.66,36,1180
Darbhanga,1884,9.42,42,2.23,58,1942
Gaya,2860,14.3,5,0.17,88,2948
Gopalganj,2052,10.26,44,2.14,64,2116
Jamui,614,3.07,0,0.00,20,634
Jehanabad,618,3.09,10,1.62,20,638
Kaimur (Bhabua),1948,9.74,2,0.10,60,2008
Katihar,4106,20.53,10,0.24,126,4232
Khagaria,1524,7.62,5,0.33,48,1572
Kishanganj,646,3.23,6,0.93,20,666
Lakhisarai,708,3.54,1,0.14,22,730
Madhepura,936,4.68,8,0.85,28,964
Madhubani,3404,17.02,99,2.91,106,3510
Munger,1282,6.41,8,0.62,40,1322
Muzaffarpur,3432,17.16,36,1.05,106,3538
Nalanda,2212,11.06,2,0.09,68,2280
Nawada,576,2.88,1,0.17,18,594
Patna,1608,8.04,10,0.62,50,1658
Purbi Champaran,2652,13.26,17,0.64,82,2734
Purnia,2600,13,4,0.15,80,2680
Rohtas,2108,10.54,1,0.05,66,2174
Saharsa,472,2.36,5,1.06,14,486
Samastipur,4698,23.49,5,0.11,146,4844
Saran,5290,26.45,29,0.55,164,5454
Sheikhpura,782,3.91,6,0.77,24,806
Sheohar,754,3.77,8,1.06,24,778
Sitamarhi,2180,10.9,31,1.42,68,2248
Siwan,6088,30.44,28,0.46,188,6276
Supaul,658,3.29,5,0.76,20,678
Vaishali,6118,30.59,5,0.08,190,6308
