district,sep_i_g_target_c,achievement_d,of_achivement_e_d_c_100,shg_credit_linkage_target_f,achievement_g,of_achivement_h_g_f_100
Araria,24,27,112.50,54,63,116.67
Arwal,8,8,100.00,18,10,55.56
Aurangabad,28,32,114.29,66,73,110.61
Banka,14,4,28.57,33,15,45.45
Begusarai,50,42,84.00,112,75,66.96
Bhagalpur,34,32,94.12,76,80,105.26
Bhojpur,44,32,72.73,103,51,49.51
Buxar,16,9,56.25,36,16,44.44
Darbhanga,20,16,80.00,43,41,95.35
Gaya,34,35,102.94,76,104,136.84
Gopalganj,30,29,96.67,69,39,56.52
Jamui,16,11,68.75,36,20,55.56
Jehanabad,14,12,85.71,33,30,90.91
Kaimur (Bhabua),14,12,85.71,33,36,109.09
Katihar,24,20,83.33,55,51,92.73
Khagaria,16,9,56.25,36,57,158.33
Kishanganj,20,7,35.00,48,45,93.75
Lakhisarai,16,9,56.25,36,79,219.44
Madhepura,14,4,28.57,33,10,30.30
Madhubani,32,23,71.88,73,11,15.07
Munger,28,29,103.57,61,68,111.48
Muzaffarpur,36,29,80.56,79,59,74.68
Nalanda,42,45,107.14,94,52,55.32
Nawada,24,15,62.50,54,47,87.04
Pashchim Champaran,34,20,58.82,76,95,125.00
Patna,102,101,99.02,232,264,113.79
Purbi Champaran,74,63,85.14,172,120,69.77
Purnia,28,14,50.00,61,79,129.51
Rohtas,54,43,79.63,124,163,131.45
Saharsa,20,11,55.00,43,46,106.98
Samastipur,28,3,10.71,61,50,81.97
Saran,48,42,87.50,115,34,29.57
Sheikhpura,16,2,12.50,36,6,16.67
Sheohar,8,8,100.00,18,30,166.67
Sitamarhi,40,21,52.50,91,70,76.92
Siwan,20,22,110.00,48,32,66.67
Supaul,14,6,42.86,33,38,115.15
Vaishali,32,9,28.13,72,62,86.11
