district,kccs_for_animal_husbandry_and_allied_activities_no,amt,farm_production_organistaion_no,amt,dairy_dev_no,amt,farm_mechanisation_no,amt,poultry_no,amt,fisheries_no,amt,rural_godown_no,amt,agri_clinic_no,amt,other_no,amt
Araria,2230,228.64,0,228.64,4429,228.64,13245,228.64,662,228.64,1029,228.64,13,228.64,1,228.64,20292,228.64
Arwal,363,31.79,0,31.79,1457,31.79,666,31.79,165,31.79,132,31.79,0,31.79,0,31.79,3241,31.79
Aurangabad,1127,260.21,0,260.21,2009,260.21,11509,260.21,1298,260.21,353,260.21,1,260.21,1,260.21,41580,260.21
Banka,1286,135.31,0,135.31,12438,135.31,2375,135.31,601,135.31,354,135.31,25,135.31,0,135.31,19278,135.31
Begusarai,2708,401.44,0,401.44,12986,401.44,9724,401.44,488,401.44,652,401.44,9,401.44,2,401.44,81089,401.44
Bhagalpur,2762,325.37,0,325.37,11950,325.37,5166,325.37,1088,325.37,1524,325.37,0,325.37,1,325.37,36912,325.37
Bhojpur,1985,292.62,0,292.62,4940,292.62,2900,292.62,222,292.62,446,292.62,3,292.62,8,292.62,57042,292.62
Buxar,857,227.28,0,227.28,4832,227.28,5533,227.28,82,227.28,138,227.28,3,227.28,1,227.28,26256,227.28
Darbhanga,9279,504.93,0,504.93,10663,504.93,10669,504.93,507,504.93,641,504.93,3,504.93,1,504.93,142464,504.93
Gaya,1737,414.20,0,414.20,8190,414.20,15115,414.20,860,414.20,919,414.20,2,414.20,3,414.20,50944,414.20
Gopalganj,2871,283.83,0,283.83,6833,283.83,5070,283.83,869,283.83,462,283.83,0,283.83,1,283.83,78549,283.83
Jamui,997,155.85,0,155.85,1521,155.85,1629,155.85,242,155.85,218,155.85,3,155.85,0,155.85,16742,155.85
Jehanabad,1221,75.54,0,75.54,1213,75.54,2763,75.54,124,75.54,60,75.54,0,75.54,2,75.54,5139,75.54
Kaimur (Bhabua),553,118.02,1,118.02,2387,118.02,5470,118.02,96,118.02,122,118.02,1,118.02,17,118.02,16361,118.02
Katihar,1521,368.85,1,368.85,9238,368.85,8499,368.85,1310,368.85,3818,368.85,16,368.85,7,368.85,105325,368.85
Khagaria,3022,155.84,0,155.84,11516,155.84,2466,155.84,236,155.84,876,155.84,10,155.84,0,155.84,19267,155.84
Kishanganj,1189,86.45,0,86.45,2293,86.45,17381,86.45,861,86.45,539,86.45,0,86.45,0,86.45,3275,86.45
Lakhisarai,1224,49.86,0,49.86,3151,49.86,1140,49.86,66,49.86,162,49.86,9,49.86,0,49.86,8747,49.86
Madhepura,1002,240.63,0,240.63,11536,240.63,4038,240.63,249,240.63,260,240.63,13,240.63,1,240.63,76110,240.63
Madhubani,4441,218.37,0,218.37,9805,218.37,15047,218.37,1260,218.37,1736,218.37,0,218.37,5,218.37,55210,218.37
Munger,1229,101.11,0,101.11,5147,101.11,2000,101.11,216,101.11,550,101.11,3,101.11,0,101.11,11978,101.11
Muzaffarpur,119841,802.73,0,802.73,29790,802.73,22253,802.73,1177,802.73,1067,802.73,6,802.73,4,802.73,77955,802.73
Nalanda,2738,174.59,0,174.59,9765,174.59,9743,174.59,333,174.59,597,174.59,2,174.59,6,174.59,25377,174.59
Nawada,1491,103.96,0,103.96,1739,103.96,9088,103.96,179,103.96,308,103.96,0,103.96,2,103.96,18790,103.96
Pashchim Champaran,4616,290.03,0,290.03,7539,290.03,15571,290.03,391,290.03,595,290.03,1,290.03,0,290.03,51771,290.03
Patna,423868,1637.61,2,1637.61,16511,1637.61,13027,1637.61,675,1637.61,1096,1637.61,20,1637.61,7,1637.61,167137,1637.61
Purbi Champaran,4484,509.84,0,509.84,10677,509.84,17081,509.84,646,509.84,785,509.84,0,509.84,1,509.84,74680,509.84
Purnia,1511,349.46,1,349.46,13982,349.46,7705,349.46,1164,349.46,2332,349.46,116,349.46,0,349.46,36353,349.46
Rohtas,1054,220.33,0,220.33,6033,220.33,8600,220.33,303,220.33,805,220.33,12,220.33,3,220.33,30911,220.33
Saharsa,741,122.97,0,122.97,8930,122.97,5350,122.97,288,122.97,720,122.97,3,122.97,0,122.97,15057,122.97
Samastipur,5756,542.60,0,542.60,13697,542.60,9522,542.60,372,542.60,940,542.60,26,542.60,0,542.60,51881,542.60
Saran,2117,532.39,0,532.39,9538,532.39,5158,532.39,865,532.39,892,532.39,0,532.39,12,532.39,142619,532.39
Sheikhpura,1009,76.37,3,76.37,1358,76.37,754,76.37,75,76.37,63,76.37,0,76.37,0,76.37,8388,76.37
Sheohar,1670,105.48,0,105.48,3080,105.48,4226,105.48,42,105.48,401,105.48,0,105.48,3,105.48,3668,105.48
Sitamarhi,5523,335.92,0,335.92,6073,335.92,25065,335.92,602,335.92,307,335.92,1,335.92,1,335.92,22762,335.92
Siwan,44108,302.25,3,302.25,3901,302.25,6992,302.25,690,302.25,729,302.25,0,302.25,1,302.25,54133,302.25
Supaul,905,55.08,0,55.08,2426,55.08,5535,55.08,165,55.08,472,55.08,10,55.08,0,55.08,2395,55.08
Vaishali,4175,365.66,3,365.66,6695,365.66,16148,365.66,786,365.66,688,365.66,210,365.66,84,365.66,30792,365.66
