District,Branch,Deposit,Advance,CD Ratio
Araria,171,6016.84,5471.47,90.94
Arwal,67,2524.44,1215.64,48.15
Aurangabad,208,10051.70,6409.17,63.76
Banka,136,5655.89,3037.22,53.70
Begusarai,237,13171.23,9740.32,73.95
Bhagalpur,296,19485.11,10140.53,52.04
Bhojpur,249,14337.67,6352.33,44.31
Buxar,160,8033.16,3683.15,45.85
Darbhanga,261,17024.99,8623.44,50.65
Gaya,336,22840.28,13003.63,56.93
Gopalganj,201,11018.72,5291.31,48.02
Jamui,130,6192.10,3080.50,49.75
Jehanabad,99,5001.04,2273.73,45.47
Kaimur (Bhabua),130,5464.43,3359.30,61.48
Katihar,197,8998.07,6914.20,76.84
Khagaria,120,4954.49,3172.66,64.04
Kishanganj,114,4518.81,3613.39,79.96
Lakhisarai,92,4176.77,1987.52,47.59
Madhepura,124,4739.78,3699.89,78.06
Madhubani,289,12459.12,6808.82,54.65
Munger,145,9473.19,3308.68,34.93
Muzaffarpur,414,25886.30,18117.64,69.99
Nalanda,263,15044.91,6532.92,43.42
Nawada,160,7486.29,4164.81,55.63
Pashchim Champaran,234,9113.38,7596.62,83.36
Patna,1014,185524.07,90704.35,48.89
Purbi Champaran,316,13937.64,11508.62,82.57
Purnia,243,10197.55,9909.51,97.18
Rohtas,255,13355.26,7120.06,53.31
Saharsa,105,5837.51,3972.30,68.05
Samastipur,309,14831.97,9422.36,63.53
Saran,277,16811.15,7753.47,46.12
Sheikhpura,66,2914.31,1458.90,50.06
Sheohar,46,1492.67,1072.89,71.88
Sitamarhi,176,8873.84,5411.54,60.98
Siwan,266,16468.72,8210.49,49.86
Supaul,129,5479.12,3894.97,71.09
Vaishali,269,14052.69,11254.53,80.09
