district,kcc_new_target_no,amt,disbursed_no,amt,achievement_no,amt,kcc_renew_target_no,amt,disbursed_no,amt,achievement_no,amt,total_kcc_new_renew_target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,22033,75.69,56008,75.69,89.75,75.69,40370,75.69,56008,75.69,89.75,75.69,62403,75.69,56008,75.69,89.75,75.69
Arwal,11941,4.24,2082,4.24,7.95,4.24,14248,4.24,2082,4.24,7.95,4.24,26189,4.24,2082,4.24,7.95,4.24
Aurangabad,83834,5.09,14471,5.09,7.47,5.09,109887,5.09,14471,5.09,7.47,5.09,193721,5.09,14471,5.09,7.47,5.09
Banka,16274,12.45,14344,12.45,25.93,12.45,39034,12.45,14344,12.45,25.93,12.45,55308,12.45,14344,12.45,25.93,12.45
Begusarai,43112,22.11,54155,22.11,43.43,22.11,81591,22.11,54155,22.11,43.43,22.11,124703,22.11,54155,22.11,43.43,22.11
Bhagalpur,46438,14.00,30097,14.00,19.33,14.00,109299,14.00,30097,14.00,19.33,14.00,155737,14.00,30097,14.00,19.33,14.00
Bhojpur,60091,5.27,13457,5.27,9.67,5.27,79048,5.27,13457,5.27,9.67,5.27,139139,5.27,13457,5.27,9.67,5.27
Buxar,54735,5.76,10696,5.76,7.48,5.76,88249,5.76,10696,5.76,7.48,5.76,142984,5.76,10696,5.76,7.48,5.76
Darbhanga,40406,31.79,63194,31.79,62.39,31.79,60881,31.79,63194,31.79,62.39,31.79,101287,31.79,63194,31.79,62.39,31.79
Gaya,57525,12.07,22202,12.07,18.16,12.07,64742,12.07,22202,12.07,18.16,12.07,122267,12.07,22202,12.07,18.16,12.07
Gopalganj,56179,32.87,83652,32.87,45.42,32.87,127979,32.87,83652,32.87,45.42,32.87,184158,32.87,83652,32.87,45.42,32.87
Jamui,26509,16.79,19945,16.79,31.43,16.79,36941,16.79,19945,16.79,31.43,16.79,63450,16.79,19945,16.79,31.43,16.79
Jehanabad,23108,9.55,3863,9.55,7.98,9.55,25322,9.55,3863,9.55,7.98,9.55,48430,9.55,3863,9.55,7.98,9.55
Kaimur (Bhabua),51077,13.86,13798,13.86,11.51,13.86,68784,13.86,13798,13.86,11.51,13.86,119861,13.86,13798,13.86,11.51,13.86
Katihar,30124,49.12,53244,49.12,66.60,49.12,49818,49.12,53244,49.12,66.60,49.12,79942,49.12,53244,49.12,66.60,49.12
