district,other_priority_sector_export_credit_a_c,amt,education_ps_a_c,amt,housing_ps_a_c,amt,social_infrastructure_a_c,amt,renewable_energy_a_c,amt,other_priority_a_c,amt,total_priority_sector_a_c,amt
Araria,0,25.71,209,25.71,137,25.71,2,25.71,4,25.71,8021,25.71,8373,25.71
Arwal,0,10.65,173,10.65,9,10.65,0,10.65,0,10.65,1398,10.65,1580,10.65
Aurangabad,0,36.67,680,36.67,44,36.67,0,36.67,0,36.67,4239,36.67,4963,36.67
Banka,0,15.98,158,15.98,24,15.98,27,15.98,1,15.98,6727,15.98,6937,15.98
Begusarai,0,33.87,408,33.87,139,33.87,48,33.87,5,33.87,9745,33.87,10345,33.87
Bhagalpur,0,20.21,218,20.21,72,20.21,0,20.21,0,20.21,5894,20.21,6184,20.21
Bhojpur,0,27.46,431,27.46,66,27.46,0,27.46,0,27.46,2853,27.46,3350,27.46
Buxar,0,14.2,238,14.2,39,14.2,0,14.2,0,14.2,1961,14.2,2238,14.2
Darbhanga,0,26.69,469,26.69,67,26.69,146,26.69,4,26.69,4206,26.69,4892,26.69
Gaya,0,45.51,742,45.51,145,45.51,0,45.51,0,45.51,4017,45.51,4904,45.51
Gopalganj,0,23.15,228,23.15,737,23.15,1,23.15,2,23.15,6266,23.15,7234,23.15
Jamui,0,14.68,105,14.68,25,14.68,0,14.68,0,14.68,5194,14.68,5324,14.68
Jehanabad,0,13.84,325,13.84,17,13.84,0,13.84,1,13.84,707,13.84,1050,13.84
Kaimur (Bhabua),0,16.38,256,16.38,29,16.38,1,16.38,0,16.38,2219,16.38,2505,16.38
Katihar,0,17.63,200,17.63,103,17.63,0,17.63,12,17.63,3152,17.63,3467,17.63
Khagaria,0,16.03,197,16.03,16,16.03,1,16.03,0,16.03,3963,16.03,4177,16.03
Kishanganj,0,11.62,119,11.62,339,11.62,0,11.62,1,11.62,1505,11.62,1964,11.62
Lakhisarai,0,13.73,188,13.73,18,13.73,175,13.73,0,13.73,2391,13.73,2772,13.73
Madhepura,0,16.07,163,16.07,137,16.07,187,16.07,2,16.07,3597,16.07,4086,16.07
Madhubani,0,34.2,582,34.2,57,34.2,0,34.2,6,34.2,7490,34.2,8135,34.2
Munger,0,14.55,156,14.55,38,14.55,0,14.55,0,14.55,4207,14.55,4401,14.55
Muzaffarpur,0,61.29,737,61.29,156,61.29,0,61.29,14,61.29,11533,61.29,12440,61.29
Nalanda,0,34.16,761,34.16,56,34.16,0,34.16,0,34.16,2668,34.16,3485,34.16
Nawada,0,19.88,279,19.88,41,19.88,0,19.88,0,19.88,3012,19.88,3332,19.88
Pashchim Champaran,0,43.64,330,43.64,29,43.64,1,43.64,1,43.64,11653,43.64,12014,43.64
Patna,0,116.31,1680,116.31,459,116.31,4,116.31,0,116.31,13773,116.31,15916,116.31
Purbi Champaran,0,45.75,371,45.75,64,45.75,4448,45.75,17,45.75,10792,45.75,15692,45.75
Purnia,0,29.37,259,29.37,597,29.37,0,29.37,0,29.37,5560,29.37,6416,29.37
Rohtas,0,46.29,657,46.29,159,46.29,0,46.29,1,46.29,7016,46.29,7833,46.29
Saharsa,0,13.34,220,13.34,67,13.34,0,13.34,0,13.34,2341,13.34,2628,13.34
Samastipur,0,38.17,517,38.17,52,38.17,357,38.17,2,38.17,6886,38.17,7814,38.17
Saran,0,32.44,533,32.44,86,32.44,1,32.44,17,32.44,6604,32.44,7241,32.44
Sheikhpura,0,8.05,134,8.05,12,8.05,11,8.05,0,8.05,1489,8.05,1646,8.05
Sheohar,0,4.04,53,4.04,60,4.04,0,4.04,0,4.04,931,4.04,1044,4.04
Sitamarhi,0,20.94,337,20.94,56,20.94,0,20.94,7,20.94,3502,20.94,3902,20.94
Siwan,0,31.12,492,31.12,50,31.12,95,31.12,7,31.12,4718,31.12,5362,31.12
Supaul,0,15.59,248,15.59,125,15.59,48,15.59,0,15.59,2697,15.59,3118,15.59
Vaishali,0,40.07,634,40.07,333,40.07,0,40.07,69,40.07,8478,40.07,9514,40.07
