district,target_amt,disbursed_no_of_ac,amt,age_achiv_amt
Araria,265.82,11,5.72,2.15
Arwal,92.86,1,0.10,0.11
Aurangabad,251.69,10,0.58,0.23
Banka,188.65,0,0.00,0.00
Begusarai,402.07,4,0.42,0.10
Bhagalpur,521.18,10,1.06,0.20
Bhojpur,389.47,5,0.28,0.07
Buxar,194.01,4,0.97,0.50
Darbhanga,388.85,8,2.08,0.53
Gaya,567.02,5,0.55,0.10
Gopalganj,205.48,1,0.07,0.03
Jamui,153.29,12,2.00,1.30
Jehanabad,164.77,0,0.00,0.00
Kaimur (Bhabua),190.14,3,0.18,0.09
Katihar,354.97,7,2.60,0.73
Khagaria,171.69,10,0.71,0.41
Kishanganj,174.84,3,0.04,0.02
Lakhisarai,136.97,0,0.00,0.00
Madhepura,189.26,0,0.00,0.00
Madhubani,386.65,10,0.65,0.17
Munger,210.51,2,0.04,0.02
Muzaffarpur,715.97,15,11.30,1.58
Nalanda,343.2,10,0.69,0.20
Nawada,182.29,12,1.83,1.00
Pashchim Champaran,328.63,2,0.02,0.01
Patna,2520.03,47,60.79,2.41
Purbi Champaran,456.54,24,6.37,1.40
Purnia,402.18,8,0.44,0.11
Rohtas,358.58,8,0.40,0.11
Saharsa,169.01,5,4.59,2.72
Samastipur,451.08,22,1.58,0.35
Saran,429.07,12,3.75,0.87
Sheikhpura,88.92,10,1.06,1.19
Sheohar,75.2,0,0.00,0.00
Sitamarhi,257.49,3,0.41,0.16
Siwan,377.54,12,8.13,2.15
Supaul,205.58,4,0.27,0.13
Vaishali,276.28,17,1.38,0.50
