district,no_of_kcc_for_animal_husbandary_issued_during_quarter_includ,amount_disbursed_during_quarter,total_no_of_kcc_for_animal_husbandary_as_on_end_of_current_q,outstanding_amount_as_on_end_of_current_quarter,out_of_total_no_of_kcc_for_animal_husbandary_number_of_rupay,kcc_card_activated,no_of_kcc_for_animal_husbandary_issued_during_fin_year_inclu,amount_disbursed_fin_year
Araria,1343,11.18,2802,23.91,198,184,3023,26.1
Arwal,243,1.15,289,2.02,25,20,355,2.1
Aurangabad,603,5.39,820,7.27,93,76,802,8.08
Banka,947,3.55,1912,16.12,439,395,2180,10.89
Begusarai,869,6.43,3894,55.69,824,596,2141,24.63
Bhagalpur,2212,15.71,3440,31.19,371,345,4927,39.51
Bhojpur,1216,6.17,1608,10.17,41,33,1765,10.23
Buxar,804,6.36,2515,17.08,95,80,1190,8.35
Darbhanga,3328,33.80,9356,167.22,509,262,6432,62.63
Gaya,1142,5.96,1251,8.84,295,255,1878,11.05
Gopalganj,1247,9.10,2788,42.13,605,508,2046,18.07
Jamui,790,2.38,1753,14.01,597,506,2295,6.97
Jehanabad,279,1.66,467,4.86,141,96,731,3.79
Kaimur (Bhabua),572,4.19,1575,11.36,30,23,883,7.17
Katihar,539,3.30,1653,18.88,183,98,1179,8.05
Khagaria,2217,11.65,3855,45.37,277,225,5030,34.37
Kishanganj,583,3.70,1555,15.40,210,159,1379,7.93
Lakhisarai,699,3.96,1282,14.16,246,204,1738,13.31
Madhepura,752,3.66,1136,7.68,124,93,1528,8.42
Madhubani,1672,13.04,4043,73.46,143,67,2413,19.66
Munger,888,4.53,1417,14.49,156,135,1825,13.5
Muzaffarpur,3309,33.22,6065,86.21,1017,758,6551,77.79
Nalanda,1228,5.69,1980,19.12,297,261,2251,14.74
Nawada,1087,5.35,1803,9.88,41,37,1357,6.84
Pashchim Champaran,2808,21.92,4562,57.31,425,284,5597,48.47
Patna,880,4.93,2123,27.73,359,290,2108,19.96
Purbi Champaran,2941,31.32,4534,58.42,239,178,7599,91.49
Purnia,505,3.38,1628,16.49,125,66,1194,7.11
Rohtas,401,2.35,647,4.90,140,118,638,3.96
Saharsa,613,5.25,1258,12.56,552,454,1474,13.38
Samastipur,4022,24.74,5718,61.68,699,615,7960,62.53
Saran,1231,8.88,2110,40.81,123,68,2341,17.15
Sheikhpura,775,4.89,1783,14.40,313,301,1324,8.88
Sheohar,845,13.49,2515,31.30,91,42,1718,27.8
Sitamarhi,1919,14.50,5774,82.29,253,201,3385,26.9
Siwan,1569,13.09,2996,77.19,208,165,2435,21.7
Supaul,489,3.26,1073,16.72,100,65,693,5.25
Vaishali,2023,23.77,4393,85.85,454,307,3375,41.43
