district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Araria,67,509.13,48064,509.13,11,509.13,18,509.13,0,509.13,50,509.13,48210,509.13
Arwal,31,18.50,3232,18.50,2,18.50,8,18.50,0,18.50,24,18.50,3297,18.50
Aurangabad,68,91.12,12286,91.12,15,91.12,36,91.12,1,91.12,62,91.12,12468,91.12
Banka,38,62.35,7008,62.35,2,62.35,14,62.35,1,62.35,29,62.35,7092,62.35
Begusarai,97,224.96,20536,224.96,641,224.96,30,224.96,2,224.96,49,224.96,21355,224.96
Bhagalpur,457,324.66,31217,324.66,209,324.66,38,324.66,2,324.66,36,324.66,31959,324.66
Bhojpur,281,158.56,26446,158.56,113,158.56,28,158.56,0,158.56,48,158.56,26916,158.56
Buxar,23,50.28,7966,50.28,14,50.28,15,50.28,1,50.28,50,50.28,8069,50.28
Darbhanga,157,311.95,25351,311.95,334,311.95,38,311.95,1,311.95,33,311.95,25914,311.95
Gaya,2370,513.75,65806,513.75,10688,513.75,857,513.75,101,513.75,137,513.75,79959,513.75
Gopalganj,48,170.80,11493,170.80,27,170.80,22,170.80,0,170.80,24,170.80,11614,170.80
Jamui,164,81.49,10522,81.49,4,81.49,14,81.49,0,81.49,24,81.49,10728,81.49
Jehanabad,2,37.83,4070,37.83,2,37.83,5,37.83,0,37.83,4,37.83,4083,37.83
Kaimur (Bhabua),41,63.30,8330,63.30,58,63.30,5,63.30,1,63.30,197,63.30,8632,63.30
Katihar,417,606.61,57728,606.61,19,606.61,125,606.61,0,606.61,31,606.61,58320,606.61
Khagaria,21,60.68,6066,60.68,9,60.68,18,60.68,1,60.68,45,60.68,6160,60.68
Kishanganj,277,770.66,73054,770.66,22,770.66,23,770.66,0,770.66,27,770.66,73403,770.66
Lakhisarai,7,17.78,3494,17.78,1,17.78,8,17.78,1,17.78,11,17.78,3522,17.78
Madhepura,34,92.29,9853,92.29,13,92.29,19,92.29,1,92.29,21,92.29,9941,92.29
Madhubani,46,222.34,17922,222.34,24,222.34,30,222.34,0,222.34,15,222.34,18037,222.34
Munger,365,62.33,5008,62.33,7,62.33,25,62.33,1,62.33,13,62.33,5419,62.33
Muzaffarpur,257,411.83,39968,411.83,581,411.83,79,411.83,1,411.83,68,411.83,40954,411.83
Nalanda,238,100.34,11208,100.34,84,100.34,17,100.34,2,100.34,42,100.34,11591,100.34
Nawada,841,85.55,14164,85.55,39,85.55,6,85.55,0,85.55,192,85.55,15242,85.55
Pashchim Champaran,194,282.47,21679,282.47,31,282.47,64,282.47,0,282.47,36,282.47,22004,282.47
Patna,788,1181.64,156586,1181.64,1504,1181.64,275,1181.64,8,1181.64,108,1181.64,159269,1181.64
Purbi Champaran,136,491.19,46125,491.19,375,491.19,80,491.19,10,491.19,72,491.19,46798,491.19
Purnia,317,799.12,64843,799.12,131,799.12,43,799.12,1,799.12,53,799.12,65388,799.12
Rohtas,676,115.17,14241,115.17,15,115.17,129,115.17,1,115.17,38,115.17,15100,115.17
Saharsa,50,123.07,11585,123.07,12,123.07,18,123.07,0,123.07,5,123.07,11670,123.07
Samastipur,74,193.29,19952,193.29,55,193.29,101,193.29,0,193.29,134,193.29,20316,193.29
Saran,78,164.20,13492,164.20,45,164.20,37,164.20,2,164.20,39,164.20,13693,164.20
Sheikhpura,94,16.27,2278,16.27,21,16.27,4,16.27,0,16.27,8,16.27,2405,16.27
Sheohar,2,24.28,2196,24.28,3,24.28,10,24.28,1,24.28,9,24.28,2221,24.28
Sitamarhi,36,156.93,12291,156.93,36,156.93,54,156.93,0,156.93,17,156.93,12434,156.93
Siwan,573,577.98,92700,577.98,225,577.98,14,577.98,0,577.98,23,577.98,93535,577.98
Supaul,53,108.22,9482,108.22,11,108.22,27,108.22,1,108.22,15,108.22,9589,108.22
Vaishali,393,986.38,221606,986.38,114,986.38,46,986.38,3,986.38,64,986.38,222226,986.38
