District,DISBURSEMENT No,Amt.,OUTSTANDING No,Amt.,NPA No,Amt.,% AGE NPA No,Amt.
Araria,12,1.52,12,1.29,0.00,0.00,0.00,0.00
Arwal,0,0.00,0,0.00,0.00,0.00,0.00,0.00
Aurangabad,19,2.05,19,1.55,0.00,0.00,0.00,0.00
Banka,3,0.53,4,0.68,0.00,0.00,0.00,0.00
Begusarai,40,4.53,40,4.18,0.00,0.00,0.00,0.00
Bhagalpur,30,3.80,30,2.78,0.00,0.00,0.00,0.00
Bhojpur,21,2.58,21,2.24,0.00,0.00,0.00,0.00
Buxar,6,0.71,6,0.59,0.00,0.00,0.00,0.00
Darbhanga,24,3.58,24,3.00,0.00,0.00,0.00,0.00
Gaya,65,7.05,65,5.40,0.00,0.00,0.00,0.00
Gopalganj,7,0.99,7,0.72,0.00,0.00,0.00,0.00
Jamui,4,0.61,4,0.57,0.00,0.00,0.00,0.00
Jehanabad,3,0.30,3,0.22,0.00,0.00,0.00,0.00
Kaimur (Bhabua),6,0.89,6,0.68,0.00,0.00,0.00,0.00
Katihar,11,1.54,11,1.28,0.00,0.00,0.00,0.00
Khagaria,7,0.90,7,0.75,0.00,0.00,0.00,0.00
Kishanganj,7,0.93,5,0.53,0.00,0.00,0.00,0.00
Lakhisarai,4,0.63,4,0.61,0.00,0.00,0.00,0.00
Madhepura,15,2.00,14,1.61,0.00,0.00,0.00,0.00
Madhubani,50,7.08,50,5.71,0.00,0.00,0.00,0.00
Munger,17,2.05,16,1.35,0.00,0.00,0.00,0.00
Muzaffarpur,28,3.76,28,2.77,0.00,0.00,0.00,0.00
Nalanda,6,0.69,5,0.49,0.00,0.00,0.00,0.00
Nawada,25,2.69,25,2.10,0.00,0.00,0.00,0.00
Pashchim Champaran,33,4.03,32,3.11,0.00,0.00,0.00,0.00
Patna,153,20.56,153,18.12,0.00,0.00,0.00,0.00
Purbi Champaran,61,7.32,61,5.66,0.00,0.00,0.00,0.00
Purnia,34,4.71,34,3.51,0.00,0.00,0.00,0.00
Rohtas,31,3.46,30,2.31,0.00,0.00,0.00,0.00
Saharsa,12,1.58,12,1.46,0.00,0.00,0.00,0.00
Samastipur,11,1.65,11,1.55,0.00,0.00,0.00,0.00
Saran,20,2.64,20,2.27,0.00,0.00,0.00,0.00
Sheikhpura,4,0.61,4,0.36,0.00,0.00,0.00,0.00
Sheohar,3,0.44,3,0.23,0.00,0.00,0.00,0.00
Sitamarhi,18,2.66,18,2.06,0.00,0.00,0.00,0.00
Siwan,45,5.10,44,4.25,0.00,0.00,0.00,0.00
Supaul,39,4.00,39,3.14,0.00,0.00,0.00,0.00
Vaishali,19,2.61,19,2.26,0.00,0.00,0.00,0.00
