District,"MSME Micro Enterprises
(Manufacturing + Service)
(including Khadi & Village
Industries) A/c",Amt,"Small Enterprises
(Manufacturing + Service)s A/c",Amt,"Medium Enterprises
(Manufacturing + Service) A/c",Amt,"Other finance to MSMEs (As
indicated in Master Direction on
PSL) A/c",Amt,Total MSMEs (PS) A/c,Amt
Araria,41121,922.73,572,328.68,36,45.40,8,3.78,41737,1300.59
Arwal,7444,180.72,179,48.69,53,2.28,2,0.14,7678,231.84
Aurangabad,22926,829.69,529,280.75,118,30.74,15,0.78,23588,1141.97
Banka,20509,460.63,258,114.59,1,0.01,12,0.06,20780,575.29
Begusarai,51161,1711.87,1563,659.84,181,389.22,9,0.33,52914,2761.25
Bhagalpur,65275,1956.57,1096,691.65,263,182.69,24,1.46,66658,2832.37
Bhojpur,31394,871.59,615,287.69,30,31.68,4,0.24,32043,1191.20
Buxar,18724,564.61,663,149.34,47,6.22,12,0.70,19446,720.87
Darbhanga,67130,1478.47,914,417.07,76,104.53,20,1.77,68140,2001.84
Gaya,58442,2213.36,1595,609.32,155,180.06,11,0.55,60203,3003.29
Gopalganj,33447,777.70,388,211.36,222,95.26,31,0.41,34088,1084.73
Jamui,20634,390.57,265,99.75,17,3.95,20,1.88,20936,496.15
Jehanabad,17447,396.53,293,53.73,47,14.52,1,0.00,17788,464.79
Kaimur (Bhabua),14255,416.93,342,102.01,18,18.34,10,0.56,14625,537.84
Katihar,37079,965.02,698,326.74,68,49.96,14,1.38,37859,1343.10
Khagaria,19493,411.31,292,114.60,9,2.93,8,0.48,19802,529.33
Kishanganj,28050,481.20,251,106.18,17,58.79,9,0.20,28327,646.37
Lakhisarai,11215,293.35,215,32.05,3,0.16,2,0.03,11435,325.59
Madhepura,28328,506.38,274,117.23,34,12.85,8,0.10,28644,636.56
Madhubani,51443,1124.83,670,195.19,32,18.08,33,0.73,52178,1338.83
Munger,22759,510.20,492,65.95,40,4.87,13,0.14,23304,581.16
Muzaffarpur,112362,3246.29,2163,1248.21,170,225.33,57,7.82,114752,4727.66
Nalanda,44144,1153.32,1143,313.78,78,20.51,29,1.08,45394,1488.69
Nawada,22410,591.61,918,130.27,77,52.87,12,1.16,23417,775.91
Pashchim Champaran,68178,1104.49,799,367.57,45,104.52,14,0.68,69036,1577.26
Patna,139989,9390.92,7829,5441.72,1810,3350.28,149,61.40,149777,18244.32
Purbi Champaran,73708,1791.56,953,494.84,106,71.20,32,4.90,74799,2362.50
Purnia,68513,1842.42,1086,721.57,87,231.37,32,1.29,69718,2796.65
Rohtas,35908,1273.44,855,322.11,94,78.32,24,4.73,36881,1678.60
Saharsa,34461,588.77,380,269.70,23,19.73,10,3.23,34874,881.43
Samastipur,50794,1631.95,1131,442.54,58,42.08,50,1.20,52033,2117.77
Saran,63208,1317.58,643,245.82,43,39.07,45,2.48,63939,1604.95
Sheikhpura,8037,256.11,197,47.51,7,1.72,22,0.86,8263,306.20
Sheohar,7870,158.61,55,15.91,7,2.06,1,0.00,7933,176.58
Sitamarhi,37603,956.47,460,199.88,42,32.78,12,0.47,38117,1189.59
Siwan,67843,1303.05,622,229.89,61,45.69,39,4.27,68565,1582.90
Supaul,30568,560.64,385,119.97,33,10.24,4,0.18,30990,691.02
Vaishali,60147,1459.71,697,306.42,53,54.61,47,2.14,60944,1822.88
