District,"Loans to weaker sections
under Priority Sector No.",Amt.,"Out of Loans to weaker
Sections in PSL, loans to
individual women
beneficiaries up to ₹1
lakh No.",Amt.,"Out of Agriculture, loans
to Small & Marginal
Farmers No.",Amt.
Araria,128542,1323.83,31478,166.86,52358,641.02
Arwal,19556,200.36,5519,23.34,12606,200.03
Aurangabad,90768,1004.98,31195,151.07,62001,753.64
Banka,78430,958.41,24168,118.24,30457,284.18
Begusarai,150662,1893.28,36861,210.05,69226,913.58
Bhagalpur,135922,1611.24,38443,224.59,59651,889.96
Bhojpur,167012,1383.89,32040,163.09,57632,699.05
Buxar,65907,662.01,20658,103.13,38060,413.43
Darbhanga,176261,1621.40,48191,268.50,73142,677.31
Gaya,369648,2665.69,125890,561.24,77670,936.15
Gopalganj,141505,1420.41,30022,165.12,96551,1040.74
Jamui,62699,595.01,18652,93.45,40186,386.54
Jehanabad,31712,404.64,5501,27.05,19855,266.95
Kaimur (Bhabua),69970,737.97,20455,105.69,37610,689.36
Katihar,160383,1646.10,26221,134.95,55017,675.07
Khagaria,70783,712.11,23415,116.45,44774,438.90
Kishanganj,113160,1159.00,17543,86.65,43458,505.89
Lakhisarai,37982,443.79,9118,46.77,19953,263.70
Madhepura,94362,877.33,28297,153.22,44987,497.50
Madhubani,154722,1595.91,40054,209.70,105931,1108.05
Munger,46359,502.77,15998,77.07,24112,270.41
Muzaffarpur,275848,2639.48,117087,600.21,191529,1784.61
Nalanda,106252,1101.66,29064,120.29,60336,742.16
Nawada,74358,809.47,29001,115.64,58958,563.74
Pashchim Champaran,179594,1804.06,64147,343.53,125854,1257.35
Patna,787451,5234.30,300284,1401.05,304955,2368.05
Purbi Champaran,295724,2750.03,67823,380.40,173034,1879.49
Purnia,161423,1725.99,44320,231.90,84461,971.94
Rohtas,104392,1147.38,31463,155.79,64262,828.07
Saharsa,79980,831.52,27604,121.83,50182,604.21
Samastipur,162312,2006.16,55255,292.64,97677,1223.79
Saran,198092,1816.72,61086,330.89,105200,1060.51
Sheikhpura,24984,271.57,7971,42.45,15953,201.19
Sheohar,26547,286.08,4668,24.57,15881,169.91
Sitamarhi,109380,1166.47,29878,170.69,64176,712.21
Siwan,416551,2915.98,56984,297.69,104731,994.83
Supaul,82356,923.07,11213,55.48,49864,667.83
Vaishali,823631,4780.21,40514,222.40,90462,1018.90
