district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,3523,50.68,10202,50.68,289.58,50.68
Arwal,1686,2.57,60,2.57,3.56,2.57
Aurangabad,3159,26.50,3339,26.50,105.70,26.50
Banka,3696,4.12,614,4.12,16.61,4.12
Begusarai,3522,44.65,6561,44.65,186.29,44.65
Bhagalpur,5729,9.27,2720,9.27,47.48,9.27
Bhojpur,5186,6.74,409,6.74,7.89,6.74
Buxar,5528,5.41,1228,5.41,22.21,5.41
Darbhanga,4408,38.78,8599,38.78,195.08,38.78
Gaya,11656,12.55,4903,12.55,42.06,12.55
Gopalganj,4363,17.54,2965,17.54,67.96,17.54
Jamui,2956,4.09,788,4.09,26.66,4.09
Jehanabad,2301,4.56,156,4.56,6.78,4.56
Kaimur (Bhabua),3193,16.22,2189,16.22,68.56,16.22
Katihar,2456,85.09,4389,85.09,178.71,85.09
Khagaria,3892,16.39,3277,16.39,84.20,16.39
Kishanganj,1520,103.40,9468,103.40,622.89,103.40
Lakhisarai,1644,2.75,257,2.75,15.63,2.75
Madhepura,2565,31.12,4513,31.12,175.95,31.12
Madhubani,4545,38.34,8821,38.34,194.08,38.34
Munger,2546,1.41,210,1.41,8.25,1.41
Muzaffarpur,10026,26.05,11072,26.05,110.43,26.05
Nalanda,5920,11.67,1706,11.67,28.82,11.67
Nawada,1997,17.64,716,17.64,35.85,17.64
Pashchim Champaran,5136,45.27,12939,45.27,251.93,45.27
Patna,11294,31.48,3260,31.48,28.86,31.48
Purbi Champaran,11049,18.34,10170,18.34,92.04,18.34
Purnia,5155,20.71,5314,20.71,103.08,20.71
Rohtas,4320,17.03,2642,17.03,61.16,17.03
Saharsa,1791,51.18,4293,51.18,239.70,51.18
Samastipur,10458,14.78,8679,14.78,82.99,14.78
Saran,4687,10.93,2696,10.93,57.52,10.93
Sheikhpura,805,3.45,155,3.45,19.25,3.45
Sheohar,1023,31.12,1827,31.12,178.59,31.12
Sitamarhi,3049,53.61,9782,53.61,320.83,53.61
Siwan,5151,14.96,4430,14.96,86.00,14.96
Supaul,2558,28.50,3984,28.50,155.75,28.50
Vaishali,8018,13.70,6106,13.70,76.15,13.70
