District,CHRISTIANS No.,Amt.,MUSLIMS No.,Amt.,BUDDHISTS No.,Amt.,SIKHS No.,Amt.,ZORASTRIANS No.,Amt.,JAINS No.,Amt.,TOTAL No.,Amt.
Araria,67,1.14,48064,498.14,11,0.14,18,1.23,0,0.00,50,8.48,48210,509.13
Arwal,31,0.28,3232,17.88,2,0.03,8,0.26,0,0.00,24,0.05,3297,18.50
Aurangabad,68,1.09,12286,87.59,15,0.22,36,1.65,1,0.00,62,0.57,12468,91.12
Banka,38,1.04,7008,60.71,2,0.01,14,0.43,1,0.07,29,0.09,7092,62.35
Begusarai,97,1.44,20536,214.13,641,7.89,30,0.73,2,0.04,49,0.73,21355,224.96
Bhagalpur,457,3.34,31217,310.22,209,1.77,38,1.33,2,0.13,36,7.87,31959,324.66
Bhojpur,281,1.75,26446,150.47,113,0.38,28,1.40,0,0.00,48,4.56,26916,158.56
Buxar,23,0.35,7966,48.75,14,0.08,15,0.40,1,0.00,50,0.70,8069,50.28
Darbhanga,157,1.69,25351,303.80,334,4.50,38,1.32,1,0.06,33,0.58,25914,311.95
Gaya,2370,13.63,65806,442.93,10688,44.71,857,4.80,101,0.33,137,7.35,79959,513.75
Gopalganj,48,2.12,11493,167.22,27,0.92,22,0.40,0,0.00,24,0.14,11614,170.80
Jamui,164,1.62,10522,79.36,4,0.00,14,0.27,0,0.00,24,0.24,10728,81.49
Jehanabad,2,0.02,4070,37.53,2,0.07,5,0.13,0,0.00,4,0.08,4083,37.83
Kaimur (Bhabua),41,0.10,8330,62.41,58,0.13,5,0.11,1,0.06,197,0.49,8632,63.30
Katihar,417,5.20,57728,599.29,19,0.13,125,1.66,0,0.00,31,0.33,58320,606.61
Khagaria,21,0.91,6066,58.90,9,0.16,18,0.11,1,0.02,45,0.58,6160,60.68
Kishanganj,277,4.34,73054,763.92,22,0.22,23,0.99,0,0.00,27,1.19,73403,770.66
Lakhisarai,7,0.13,3494,17.24,1,0.01,8,0.33,1,0.01,11,0.06,3522,17.78
Madhepura,34,0.69,9853,91.08,13,0.03,19,0.35,1,0.00,21,0.14,9941,92.29
Madhubani,46,0.76,17922,218.49,24,1.40,30,0.91,0,0.00,15,0.78,18037,222.34
Munger,365,3.88,5008,57.46,7,0.06,25,0.73,1,0.00,13,0.20,5419,62.33
Muzaffarpur,257,5.72,39968,394.16,581,9.03,79,2.06,1,0.01,68,0.85,40954,411.83
Nalanda,238,1.71,11208,96.24,84,1.19,17,0.72,2,0.01,42,0.47,11591,100.34
Nawada,841,1.64,14164,82.70,39,0.81,6,0.15,0,0.00,192,0.25,15242,85.55
Pashchim Champaran,194,8.61,21679,267.87,31,0.79,64,3.06,0,0.00,36,2.14,22004,282.47
Patna,788,48.92,156586,1085.38,1504,17.73,275,22.18,8,0.48,108,6.95,159269,1181.64
Purbi Champaran,136,2.78,46125,435.36,375,49.42,80,1.51,10,0.58,72,1.54,46798,491.19
Purnia,317,4.63,64843,760.19,131,1.41,43,1.40,1,0.01,53,31.48,65388,799.12
Rohtas,676,1.26,14241,108.79,15,0.20,129,4.75,1,0.01,38,0.16,15100,115.17
Saharsa,50,1.31,11585,120.04,12,0.04,18,1.11,0,0.00,5,0.57,11670,123.07
Samastipur,74,1.26,19952,189.39,55,0.86,101,1.06,0,0.00,134,0.72,20316,193.29
Saran,78,1.42,13492,157.75,45,0.82,37,0.79,2,0.01,39,3.41,13693,164.20
Sheikhpura,94,1.23,2278,14.60,21,0.20,4,0.09,0,0.00,8,0.15,2405,16.27
Sheohar,2,0.13,2196,23.92,3,0.03,10,0.10,1,0.00,9,0.10,2221,24.28
Sitamarhi,36,1.10,12291,154.14,36,0.75,54,0.76,0,0.00,17,0.18,12434,156.93
Siwan,573,3.33,92700,570.88,225,1.00,14,2.40,0,0.00,23,0.37,93535,577.98
Supaul,53,0.92,9482,105.61,11,0.27,27,0.86,1,0.00,15,0.56,9589,108.22
Vaishali,393,2.63,221606,980.32,114,1.58,46,1.16,3,0.05,64,0.64,222226,986.38
