District,Other Priority Sector Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Priority Sector A/c,Amt
Araria,0,0.00,137,2.28,379,14.66,9,0.68,11,0.20,24692,155.58,25228,173.4
Arwal,0,0.00,54,0.84,73,5.64,0,0.00,13,0.20,3807,18.87,3947,25.55
Aurangabad,0,0.00,302,4.69,399,40.75,1,0.01,36,0.58,12043,69.02,12781,115.05
Banka,0,0.00,125,2.55,202,15.68,0,0.00,15,0.25,12553,161.00,12895,179.48
Begusarai,0,0.00,383,7.33,615,47.05,5,0.07,99,2.00,19009,186.49,20111,242.94
Bhagalpur,0,0.00,745,16.63,938,60.88,1,0.05,107,1.92,28339,275.73,30130,355.21
Bhojpur,0,0.00,337,6.00,718,61.01,1,0.01,47,0.83,11760,70.02,12863,137.87
Buxar,0,0.00,191,3.31,409,24.21,0,0.00,24,0.45,8831,50.37,9455,78.34
Darbhanga,0,0.00,551,10.87,692,31.28,29,0.67,30,0.51,14045,89.05,15347,132.38
Gaya,0,0.00,1168,30.32,1088,62.59,40,0.18,105,1.93,21583,129.66,23984,224.68
Gopalganj,0,0.00,174,3.38,417,17.22,0,0.00,6,0.08,12310,74.88,12907,95.56
Jamui,0,0.00,84,1.18,164,13.01,1,0.02,10,0.16,12883,87.49,13142,101.86
Jehanabad,0,0.00,180,2.92,314,26.28,0,0.00,16,0.28,2075,12.76,2585,42.24
Kaimur (Bhabua),0,0.00,89,1.63,271,17.98,2,0.20,20,0.36,10473,57.33,10855,77.5
Katihar,0,0.00,191,4.27,540,32.86,0,0.00,11,0.15,18796,115.01,19538,152.29
Khagaria,0,0.00,97,1.84,113,10.90,5,0.32,12,0.21,7736,52.97,7963,66.24
Kishanganj,0,0.00,115,2.32,323,13.00,1,0.12,7,0.13,20958,139.34,21404,154.91
Lakhisarai,0,0.00,97,1.65,133,9.26,65,0.29,9,0.13,6619,41.05,6923,52.38
Madhepura,0,0.00,94,2.01,105,6.82,0,0.00,11,0.16,7152,43.00,7362,51.99
Madhubani,0,0.00,362,6.29,642,25.36,1,0.01,14,0.27,11306,63.62,12325,95.55
Munger,0,0.00,183,3.05,342,21.02,0,0.00,18,0.32,12688,101.59,13231,125.98
Muzaffarpur,0,0.00,884,18.03,1340,77.20,1,0.02,115,2.05,28784,198.24,31124,295.54
Nalanda,0,0.00,316,5.13,416,35.42,5,0.25,142,2.46,16611,174.74,17490,218
Nawada,0,0.00,149,2.80,411,30.12,1,0.01,21,0.37,15021,87.42,15603,120.72
Pashchim Champaran,0,0.00,286,5.57,399,18.13,2,0.09,31,0.52,15706,111.66,16424,135.97
Patna,0,0.00,4299,103.93,6576,465.87,93,37.11,691,14.69,55831,451.83,67490,1073.43
Purbi Champaran,0,0.00,470,8.50,783,23.87,545,2.30,46,0.80,31635,167.44,33479,202.91
Purnia,0,0.00,347,6.65,1017,57.87,9,0.44,24,0.51,22817,140.36,24214,205.83
Rohtas,0,0.00,322,5.52,567,43.44,3,0.09,56,4.82,15956,101.27,16904,155.14
Saharsa,0,0.00,136,2.37,177,8.07,2,0.12,18,0.33,10616,57.00,10949,67.89
Samastipur,0,0.00,470,8.71,696,51.41,5,0.15,42,0.76,20715,129.84,21928,190.87
Saran,0,0.00,324,6.29,520,28.01,7,0.04,37,0.74,31021,184.74,31909,219.82
Sheikhpura,0,0.00,68,1.08,90,6.91,14,0.06,15,0.32,4237,26.01,4424,34.38
Sheohar,0,0.00,43,0.73,96,2.79,0,0.00,0,0.00,561,3.84,700,7.36
Sitamarhi,0,0.00,267,5.42,492,21.42,1,0.01,60,1.11,7251,48.07,8071,76.03
Siwan,0,0.00,236,4.63,502,26.83,54,0.08,9,0.15,24767,151.18,25568,182.87
Supaul,0,0.00,96,1.90,165,8.58,0,0.00,47,0.77,5190,30.02,5498,41.27
Vaishali,0,0.00,402,7.84,819,40.46,3,0.28,76,1.43,22125,154.83,23425,204.84
