district,sc_disbursement_no,amt,outstanding_no,amt,st_disbursement_no,amt,outstanding_no,amt
Araria,12552,27.58,3782,27.58,13829,27.58,3782,27.58
Arwal,1767,3.57,471,3.57,248,3.57,471,3.57
Aurangabad,15251,21.91,3737,21.91,2156,21.91,3737,21.91
Banka,6192,27.08,3312,27.08,1532,27.08,3312,27.08
Begusarai,19342,26.33,4074,26.33,2437,26.33,4074,26.33
Bhagalpur,13025,81.16,4727,81.16,4024,81.16,4727,81.16
Bhojpur,32515,65.49,20250,65.49,11027,65.49,20250,65.49
Buxar,6578,14.95,2133,14.95,1148,14.95,2133,14.95
Darbhanga,52706,45.23,12554,45.23,90951,45.23,12554,45.23
Gaya,118561,257.85,55508,257.85,33354,257.85,55508,257.85
Gopalganj,22548,30.17,7575,30.17,34808,30.17,7575,30.17
Jamui,9383,28.03,3286,28.03,1380,28.03,3286,28.03
Jehanabad,3029,41.57,1921,41.57,432,41.57,1921,41.57
Kaimur (Bhabua),9347,17.59,2083,17.59,1266,17.59,2083,17.59
Katihar,22196,71.37,5052,71.37,18231,71.37,5052,71.37
Khagaria,6396,10.73,946,10.73,822,10.73,946,10.73
Kishanganj,13996,25.27,2971,25.27,8496,25.27,2971,25.27
Lakhisarai,4403,6.46,946,6.46,658,6.46,946,6.46
Madhepura,12053,17.98,4622,17.98,23698,17.98,4622,17.98
Madhubani,26865,28.42,7069,28.42,119083,28.42,7069,28.42
Munger,5428,21.76,1279,21.76,715,21.76,1279,21.76
Muzaffarpur,61307,53.07,11052,53.07,73608,53.07,11052,53.07
Nalanda,13776,17.42,2598,17.42,1003,17.42,2598,17.42
Nawada,10841,14.40,2387,14.40,1062,14.40,2387,14.40
Pashchim Champaran,72959,96.58,24295,96.58,43482,96.58,24295,96.58
Patna,253387,285.05,78865,285.05,56344,285.05,78865,285.05
Purbi Champaran,45191,72.98,17840,72.98,38172,72.98,17840,72.98
Purnia,23397,66.40,8914,66.40,26426,66.40,8914,66.40
Rohtas,12512,25.89,3294,25.89,1753,25.89,3294,25.89
Saharsa,11965,22.39,2761,22.39,18914,22.39,2761,22.39
Samastipur,27787,42.60,7074,42.60,3740,42.60,7074,42.60
Saran,49818,45.04,9647,45.04,41794,45.04,9647,45.04
Sheikhpura,2992,5.34,724,5.34,317,5.34,724,5.34
Sheohar,2899,2.52,419,2.52,8570,2.52,419,2.52
Sitamarhi,11755,16.20,2441,16.20,16741,16.20,2441,16.20
Siwan,121483,233.55,76221,233.55,83320,233.55,76221,233.55
Supaul,10669,19.41,2049,19.41,34057,19.41,2049,19.41
Vaishali,256791,417.11,159213,417.11,134342,417.11,159213,417.11
