District,KCC NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,KCC RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT
Araria,22033,330.38,2521,23.57,11.44,7.13,40370,605.43,53487,684.75,132.49,113.10,62403,935.81,56008,708.31,89.75,75.69
Arwal,11941,179.03,890,5.66,7.45,3.16,14248,213.65,1192,11.00,8.37,5.15,26189,392.68,2082,16.65,7.95,4.24
Aurangabad,83834,1257.43,4579,27.27,5.46,2.17,109887,1648.25,9892,120.50,9.00,7.31,193721,2905.68,14471,147.86,7.47,5.09
Banka,16274,243.99,4162,27.06,25.57,11.09,39034,585.42,10182,76.18,26.08,13.01,55308,829.41,14344,103.29,25.93,12.45
Begusarai,43112,646.59,3555,28.29,8.25,4.38,81591,1223.76,50600,385.27,62.02,31.48,124703,1870.35,54155,413.50,43.43,22.11
Bhagalpur,46438,696.47,7112,58.33,15.32,8.38,109299,1639.43,22985,268.54,21.03,16.38,155737,2335.9,30097,326.95,19.33,14.00
Bhojpur,60091,901.28,4301,30.23,7.16,3.35,79048,1185.65,9156,79.93,11.58,6.74,139139,2086.93,13457,110.05,9.67,5.27
Buxar,54735,820.95,2754,23.27,5.03,2.83,88249,1323.64,7942,100.31,9.00,7.58,142984,2144.59,10696,123.60,7.48,5.76
Darbhanga,40406,605.98,2231,13.86,5.52,2.29,60881,913.13,60963,469.12,100.13,51.37,101287,1519.11,63194,482.87,62.39,31.79
Gaya,57525,862.77,8548,57.47,14.86,6.66,64742,971.05,13654,163.81,21.09,16.87,122267,1833.82,22202,221.30,18.16,12.07
Gopalganj,56179,842.58,2358,23.39,4.20,2.78,127979,1919.61,81294,884.57,63.52,46.08,184158,2762.19,83652,907.94,45.42,32.87
Jamui,26509,397.55,6367,39.49,24.02,9.93,36941,554.03,13578,120.37,36.76,21.73,63450,951.58,19945,159.76,31.43,16.79
Jehanabad,23108,346.56,1096,5.92,4.74,1.71,25322,379.78,2767,63.37,10.93,16.69,48430,726.34,3863,69.34,7.98,9.55
Kaimur (Bhabua),51077,766.11,2873,28.34,5.62,3.70,68784,1031.67,10925,220.78,15.88,21.40,119861,1797.78,13798,249.10,11.51,13.86
Katihar,30124,451.76,3158,31.73,10.48,7.02,49818,747.2,50086,557.18,100.54,74.57,79942,1198.96,53244,588.87,66.60,49.12
Khagaria,33472,501.98,3671,41.36,10.97,8.24,57485,862.18,25344,155.78,44.09,18.07,90957,1364.16,29015,197.05,31.90,14.44
Kishanganj,13826,207.31,1999,13.25,14.46,6.39,23044,345.57,49955,525.06,216.78,151.94,36870,552.88,51954,538.26,140.91,97.36
Lakhisarai,23772,356.54,2601,19.12,10.94,5.36,29695,445.33,5611,54.36,18.90,12.21,53467,801.87,8212,73.41,15.36,9.15
Madhepura,33982,509.69,1615,13.91,4.75,2.73,41280,619.12,31119,352.51,75.39,56.94,75262,1128.81,32734,366.39,43.49,32.46
Madhubani,47559,713.29,2417,14.65,5.08,2.05,92784,1391.64,96717,965.34,104.24,69.37,140343,2104.93,99134,979.94,70.64,46.55
Munger,13724,205.8,4093,30.85,29.82,14.99,22904,343.5,6729,61.95,29.38,18.03,36628,549.3,10822,92.87,29.55,16.91
Muzaffarpur,59487,892.23,4230,56.70,7.11,6.35,115770,1736.46,120604,1081.59,104.18,62.29,175257,2628.69,124834,1138.21,71.23,43.30
Nalanda,47303,709.47,5111,28.44,10.80,4.01,60810,912.07,8287,99.33,13.63,10.89,108113,1621.54,13398,127.82,12.39,7.88
Nawada,34329,514.85,7728,62.80,22.51,12.20,49507,742.56,10125,111.07,20.45,14.96,83836,1257.41,17853,173.91,21.30,13.83
Pashchim Champaran,36632,549.38,6107,37.79,16.67,6.88,56380,845.61,109084,1145.11,193.48,135.42,93012,1394.99,115191,1182.79,123.85,84.79
Patna,86569,1298.4,3028,55.57,3.50,4.28,163105,2446.44,13495,228.36,8.27,9.33,249674,3744.84,16523,283.90,6.62,7.58
Purbi Champaran,77433,1161.4,2459,19.95,3.18,1.72,112645,1689.61,140956,1462.96,125.13,86.59,190078,2851.01,143415,1483.11,75.45,52.02
Purnia,39829,597.41,4906,53.20,12.32,8.91,65776,986.56,70223,1010.68,106.76,102.44,105605,1583.97,75129,1063.80,71.14,67.16
Rohtas,61787,926.73,6688,38.59,10.82,4.16,74148,1112.14,12179,229.05,16.43,20.60,135935,2038.87,18867,267.56,13.88,13.12
Saharsa,38197,572.93,1914,18.38,5.01,3.21,46449,696.7,39810,457.83,85.71,65.71,84646,1269.63,41724,476.24,49.29,37.51
Samastipur,62798,941.85,11703,110.28,18.64,11.71,77310,1159.58,67050,489.46,86.73,42.21,140108,2101.43,78753,599.78,56.21,28.54
Saran,57276,859.03,2847,19.20,4.97,2.24,75610,1134.06,59206,636.75,78.30,56.15,132886,1993.09,62053,655.94,46.70,32.91
Sheikhpura,10958,164.35,1689,11.52,15.41,7.01,14134,211.92,5076,66.41,35.91,31.34,25092,376.27,6765,77.98,26.96,20.72
Sheohar,6384,95.65,619,7.82,9.70,8.18,18057,270.74,15085,166.30,83.54,61.42,24441,366.39,15704,174.15,64.25,47.53
Sitamarhi,25470,381.89,1441,12.50,5.66,3.27,66890,1003.23,62092,588.81,92.83,58.69,92360,1385.12,63533,601.33,68.79,43.41
