district,loans_to_weaker_sections_under_priority_sector_no,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,out_of_agriculture_loans_to_small_marginal_farmers_no,amt
Araria,246568,1259.89,100856,1259.89,157958,1259.89
Arwal,43782,270.71,18806,270.71,34537,270.71
Aurangabad,191593,1270.19,72880,1270.19,158939,1270.19
Banka,160081,604.48,69628,604.48,95308,604.48
Begusarai,341963,1560.83,116415,1560.83,208115,1560.83
Bhagalpur,260394,1190.76,128348,1190.76,167169,1190.76
Bhojpur,307545,956.61,90558,956.61,137118,956.61
Buxar,139244,810.47,54799,810.47,118208,810.47
Darbhanga,360262,959.94,91564,959.94,145184,959.94
Gaya,693016,1987.42,274495,1987.42,241144,1987.42
Gopalganj,265745,1218.39,84731,1218.39,153596,1218.39
Jamui,148785,762.81,62229,762.81,120540,762.81
Jehanabad,59268,493.97,18398,493.97,51042,493.97
Kaimur (Bhabua),124188,940.83,40997,940.83,107204,940.83
Katihar,323512,1297.50,98993,1297.50,137598,1297.50
Khagaria,182072,967.41,64361,967.41,126749,967.41
Kishanganj,178651,936.69,62416,936.69,114083,936.69
Lakhisarai,88661,449.43,34349,449.43,65737,449.43
Madhepura,221554,996.14,62367,996.14,150060,996.14
Madhubani,287289,1176.33,85029,1176.33,187075,1176.33
Munger,100152,413.30,48040,413.30,68143,413.30
Muzaffarpur,641709,2878.78,337024,2878.78,462451,2878.78
Nalanda,180048,1333.04,71095,1333.04,145354,1333.04
Nawada,150718,1010.39,71089,1010.39,126367,1010.39
Pashchim Champaran,361312,1726.05,125485,1726.05,232466,1726.05
Patna,1719630,4135.25,946771,4135.25,903341,4135.25
Purbi Champaran,557321,2858.47,152869,2858.47,317200,2858.47
Purnia,304206,1586.39,134298,1586.39,191932,1586.39
Rohtas,211449,1423.23,85158,1423.23,173707,1423.23
Saharsa,158860,1076.24,59059,1076.24,115158,1076.24
Samastipur,384648,2045.68,153483,2045.68,308503,2045.68
Saran,367917,1634.49,160341,1634.49,210733,1634.49
Sheikhpura,57868,332.47,23217,332.47,42385,332.47
Sheohar,47114,276.09,9787,276.09,30454,276.09
Sitamarhi,198985,1282.18,51997,1282.18,144413,1282.18
Siwan,748429,1400.42,170910,1400.42,215700,1400.42
Supaul,139592,1046.41,30092,1046.41,94700,1046.41
Vaishali,1451583,1495.43,108969,1495.43,175439,1495.43
