District,KCC - AH NEW TARGET NO.,AMT,DISBURSED NO.,AMT,% NO.,AMT,KCC - AH RENEW TARGET NO.,AMT,DISBURSED NO.,AMT,% ACHIEVEMENT NO.,AMT,TOTAL KCC - AH (NEW+RENEW) TARGET NO.,AMT,DISBURSED NO.,AMT,% NO.,AMT
Araria,4346,34.68,1279,10.89,29.43,31.40,287,2.21,1744,15.20,607.67,687.78,4633,36.89,3023,26.10,65.25,70.75
Arwal,1889,15.08,216,1.30,11.43,8.62,128,0.96,139,0.81,108.59,84.38,2017,16.04,355,2.10,17.60,13.09
Aurangabad,1574,12.54,494,4.85,31.39,38.68,107,0.80,308,3.22,287.85,402.50,1681,13.34,802,8.08,47.71,60.57
Banka,2432,19.4,543,4.10,22.33,21.13,165,1.24,1637,6.78,992.12,546.77,2597,20.64,2180,10.89,83.94,52.76
Begusarai,8362,66.85,772,9.45,9.23,14.14,542,4.27,1369,15.12,252.58,354.10,8904,71.12,2141,24.63,24.05,34.63
Bhagalpur,6290,50.26,1266,12.31,20.13,24.49,407,3.21,3661,27.16,899.51,846.11,6697,53.47,4927,39.51,73.57,73.89
Bhojpur,5472,43.71,1020,7.06,18.64,16.15,356,2.79,745,3.19,209.27,114.34,5828,46.5,1765,10.23,30.28,22.00
Buxar,4251,33.96,733,5.67,17.24,16.70,280,2.17,457,2.71,163.21,124.88,4531,36.13,1190,8.35,26.26,23.11
Darbhanga,4678,37.36,761,7.97,16.27,21.33,306,2.38,5671,54.71,1853.27,2298.74,4984,39.74,6432,62.63,129.05,157.60
Gaya,8500,67.94,732,5.36,8.61,7.89,550,4.34,1146,5.63,208.36,129.72,9050,72.28,1878,11.05,20.75,15.29
Gopalganj,3510,28.02,1239,9.65,35.30,34.44,233,1.79,807,8.43,346.35,470.95,3743,29.81,2046,18.07,54.66,60.62
Jamui,2819,22.51,366,3.97,12.98,17.64,189,1.44,1929,3.04,1020.63,211.11,3008,23.95,2295,6.97,76.30,29.10
Jehanabad,2506,20.02,154,1.99,6.15,9.94,163,1.28,577,1.82,353.99,142.19,2669,21.3,731,3.79,27.39,17.79
Kaimur (Bhabua),3096,24.76,559,4.74,18.06,19.14,203,1.58,324,2.45,159.61,155.06,3299,26.34,883,7.17,26.77,27.22
Katihar,5908,47.24,375,3.39,6.35,7.18,384,3.02,804,4.61,209.38,152.65,6292,50.26,1179,8.05,18.74,16.02
Khagaria,3418,27.3,1764,18.54,51.61,67.91,228,1.74,3266,15.77,1432.46,906.32,3646,29.04,5030,34.37,137.96,118.35
Kishanganj,3555,28.39,282,2.52,7.93,8.88,232,1.81,1097,5.40,472.84,298.34,3787,30.2,1379,7.93,36.41,26.26
Lakhisarai,3374,26.96,563,9.46,16.69,35.09,221,1.72,1175,3.87,531.67,225.00,3595,28.68,1738,13.31,48.34,46.41
Madhepura,2366,18.86,627,4.14,26.50,21.95,160,1.20,901,4.25,563.13,354.17,2526,20.06,1528,8.42,60.49,41.97
Madhubani,6656,53.16,1195,6.75,17.95,12.70,433,3.39,1218,12.94,281.29,381.71,7089,56.55,2413,19.66,34.04,34.77
Munger,4571,36.53,748,9.18,16.36,25.13,297,2.33,1077,4.31,362.63,184.98,4868,38.86,1825,13.50,37.49,34.74
Muzaffarpur,11993,95.87,2241,27.64,18.69,28.83,771,6.12,4310,50.17,559.01,819.77,12764,101.99,6551,77.79,51.32,76.27
Nalanda,5713,45.65,1097,7.71,19.20,16.89,369,2.91,1154,7.01,312.74,240.89,6082,48.56,2251,14.74,37.01,30.35
Nawada,3013,24.04,870,4.78,28.87,19.88,200,1.53,487,2.13,243.50,139.22,3213,25.57,1357,6.84,42.23,26.75
Pashchim Champaran,5865,46.87,1958,16.17,33.38,34.50,380,2.99,3639,32.35,957.63,1081.94,6245,49.86,5597,48.47,89.62,97.21
Patna,18523,148.12,844,10.27,4.56,6.93,1192,9.45,1264,9.74,106.04,103.07,19715,157.57,2108,19.96,10.69,12.67
Purbi Champaran,3941,31.49,2468,31.41,62.62,99.75,259,2.01,5131,60.11,1981.08,2990.55,4200,33.5,7599,91.49,180.93,273.10
