District,Other Priority Sector Export Credit A/c,Amt,Education (PS) A/c,Amt,Housing (PS) A/c,Amt,Social Infrastructure A/c,Amt,Renewable Energy A/c,Amt,Other Priority A/c,Amt,Total Priority Sector A/c,Amt
Araria,0,0.00,743,23.45,1337,104.90,41,0.35,18,0.24,44925,151.24,47064,280.18
Arwal,0,0.00,398,13.60,216,21.18,0,0.00,17,0.17,7997,23.05,8628,58.00
Aurangabad,0,0.00,1632,48.13,1495,152.70,3,0.01,42,0.57,22950,81.39,26122,282.80
Banka,0,0.00,595,17.88,716,72.13,147,0.30,19,0.25,22208,123.42,23685,213.98
Begusarai,0,0.00,1810,60.13,2511,250.18,228,0.39,117,1.94,29944,169.22,34610,481.86
Bhagalpur,1,0.10,2111,75.36,3931,363.13,0,0.00,114,1.72,44844,226.51,51001,666.82
Bhojpur,0,0.00,1438,48.66,2449,262.83,2,0.01,63,0.80,20636,82.66,24588,394.96
Buxar,0,0.00,816,27.11,1446,133.79,0,0.00,37,0.45,14225,50.47,16524,211.82
Darbhanga,0,0.00,2477,82.08,3169,279.30,750,1.69,53,0.51,25419,105.04,31868,468.62
Gaya,0,0.00,3784,168.00,4430,413.50,34,0.03,115,1.69,38657,160.67,47020,743.89
Gopalganj,0,0.00,814,24.95,1966,110.85,0,0.00,13,0.14,27039,90.87,29832,226.81
Jamui,0,0.00,366,11.85,531,45.35,0,0.00,11,0.19,22408,76.40,23316,133.79
Jehanabad,0,0.00,798,26.50,885,81.23,0,0.00,20,0.28,5890,18.69,7593,126.70
Kaimur (Bhabua),0,0.00,591,20.32,764,74.92,1,0.00,24,0.34,15396,66.11,16776,161.69
Katihar,0,0.00,814,30.79,2080,210.61,0,0.00,31,0.21,37326,132.40,40251,374.01
Khagaria,0,0.00,576,18.60,561,49.53,6,0.14,13,0.20,14637,56.22,15793,124.69
Kishanganj,0,0.00,496,17.93,1200,89.00,0,0.00,8,0.13,29107,113.34,30811,220.40
Lakhisarai,0,0.00,568,18.63,439,39.24,2476,7.14,11,0.13,10035,34.97,13529,100.11
Madhepura,0,0.00,530,16.02,754,63.66,902,2.11,16,0.18,14193,51.78,16395,133.75
Madhubani,0,0.00,2137,65.94,2056,195.63,1,0.00,41,0.29,25959,80.29,30194,342.15
Munger,0,0.00,742,24.21,1184,111.76,0,0.00,21,0.30,17061,91.28,19008,227.55
Muzaffarpur,0,0.00,3789,133.75,7131,681.59,0,0.00,142,1.92,64278,237.82,75340,1055.08
Nalanda,0,0.00,1840,55.59,1882,188.66,3,0.01,153,2.09,26577,167.46,30455,413.81
Nawada,0,0.00,801,28.20,1671,165.61,0,0.00,35,0.43,23801,79.77,26308,274.01
Pashchim Champaran,0,0.00,1271,40.53,1760,176.75,5,0.26,36,0.54,40386,179.65,43458,397.73
Patna,0,0.00,13307,546.31,30812,3738.55,60,117.40,728,13.89,106487,534.20,151394,4950.35
Purbi Champaran,0,0.00,1791,63.04,2467,226.18,26361,54.10,72,0.82,53766,186.02,84457,530.16
Purnia,0,0.00,1482,49.75,4526,404.62,3,0.06,26,0.40,41693,154.69,47730,609.52
Rohtas,0,0.00,1782,59.42,2520,224.23,4,0.02,64,11.56,33973,116.48,38343,411.71
Saharsa,0,0.00,725,23.44,907,78.26,1,0.09,20,0.33,15331,59.27,16984,161.39
Samastipur,0,0.00,2130,69.29,2690,280.35,1802,3.18,66,0.72,32571,140.76,39259,494.30
Saran,0,0.00,1548,48.10,2048,208.25,6,0.02,68,0.76,44291,169.70,47961,426.83
Sheikhpura,0,0.00,375,12.22,436,42.16,246,0.75,16,0.30,8349,27.21,9422,82.64
Sheohar,0,0.00,159,4.46,332,24.22,0,0.00,1,0.00,3698,8.46,4190,37.14
Sitamarhi,0,0.00,1243,40.79,1581,154.03,1,0.11,73,1.09,12280,51.30,15178,247.32
Siwan,0,0.00,1435,45.59,1902,182.36,759,1.32,18,0.14,45948,172.51,50062,401.92
Supaul,0,0.00,694,21.67,858,70.46,223,0.41,49,0.74,9070,30.40,10894,123.68
Vaishali,0,0.00,1860,57.78,2879,244.85,0,0.00,163,1.54,51589,155.31,56491,459.48
