district,shishu_loans_up_to_rs_50_000_outstanding_no,amt,out_of_which_under_npa_no,amt,kishore_loans_from_rs_50_001_to_rs_5_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,tarun_loans_from_rs_5_00_to_rs_10_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,total_loans_up_to_rs_10_00_lakh_outstanding_no,amt,out_of_which_under_npa_no,amt,age_npa_no,amt
Araria,123037,8.40,35783,8.40,121588,8.40,35783,8.40,5395,8.40,35783,8.40,250020,8.40,35783,8.40,14.31,8.40
Arwal,15961,14.96,4534,14.96,10577,14.96,4534,14.96,1232,14.96,4534,14.96,27770,14.96,4534,14.96,16.33,14.96
Aurangabad,61343,14.24,23446,14.24,51971,14.24,23446,14.24,3482,14.24,23446,14.24,116796,14.24,23446,14.24,20.07,14.24
Banka,60956,10.10,18577,10.10,47649,10.10,18577,10.10,2100,10.10,18577,10.10,110705,10.10,18577,10.10,16.78,10.10
Begusarai,139931,9.99,46031,9.99,156935,9.99,46031,9.99,4652,9.99,46031,9.99,301518,9.99,46031,9.99,15.27,9.99
Bhagalpur,111920,7.27,24003,7.27,117646,7.27,24003,7.27,5609,7.27,24003,7.27,235175,7.27,24003,7.27,10.21,7.27
Bhojpur,53625,14.41,16948,14.41,50409,14.41,16948,14.41,3224,14.41,16948,14.41,107258,14.41,16948,14.41,15.80,14.41
Buxar,42669,15.80,14096,15.80,40321,15.80,14096,15.80,2498,15.80,14096,15.80,85488,15.80,14096,15.80,16.49,15.80
Darbhanga,124883,8.33,45625,8.33,148168,8.33,45625,8.33,8687,8.33,45625,8.33,281738,8.33,45625,8.33,16.19,8.33
Gaya,189879,13.19,47145,13.19,170077,13.19,47145,13.19,10807,13.19,47145,13.19,370763,13.19,47145,13.19,12.72,13.19
Gopalganj,79274,8.65,28955,8.65,84671,8.65,28955,8.65,5329,8.65,28955,8.65,169274,8.65,28955,8.65,17.11,8.65
Jamui,59792,10.72,14297,10.72,53544,10.72,14297,10.72,2026,10.72,14297,10.72,115362,10.72,14297,10.72,12.39,10.72
Jehanabad,24045,14.86,8250,14.86,24818,14.86,8250,14.86,2016,14.86,8250,14.86,50879,14.86,8250,14.86,16.21,14.86
Kaimur (Bhabua),36373,14.25,11477,14.25,34500,14.25,11477,14.25,1953,14.25,11477,14.25,72826,14.25,11477,14.25,15.76,14.25
Katihar,101745,5.89,21926,5.89,130440,5.89,21926,5.89,5990,5.89,21926,5.89,238175,5.89,21926,5.89,9.21,5.89
Khagaria,73352,13.58,29816,13.58,58660,13.58,29816,13.58,2164,13.58,29816,13.58,134176,13.58,29816,13.58,22.22,13.58
Kishanganj,65766,3.98,8038,3.98,92755,3.98,8038,3.98,2344,3.98,8038,3.98,160865,3.98,8038,3.98,5.00,3.98
Lakhisarai,22764,8.95,7741,8.95,25795,8.95,7741,8.95,1144,8.95,7741,8.95,49703,8.95,7741,8.95,15.57,8.95
Madhepura,63836,9.21,22866,9.21,62997,9.21,22866,9.21,3573,9.21,22866,9.21,130406,9.21,22866,9.21,17.53,9.21
Madhubani,133708,7.72,44481,7.72,111183,7.72,44481,7.72,15574,7.72,44481,7.72,260465,7.72,44481,7.72,17.08,7.72
Munger,45981,12.80,14602,12.80,41467,12.80,14602,12.80,2200,12.80,14602,12.80,89648,12.80,14602,12.80,16.29,12.80
Muzaffarpur,325767,11.48,86572,11.48,194538,11.48,86572,11.48,14923,11.48,86572,11.48,535228,11.48,86572,11.48,16.17,11.48
Nalanda,58847,14.58,16159,14.58,57163,14.58,16159,14.58,4849,14.58,16159,14.58,120859,14.58,16159,14.58,13.37,14.58
