District,POS Rural,"POS Semi-
Urban",POS Urban,Total Branch
Araria,1991,1226,69,3286
Arwal,194,203,29,426
Aurangabad,1653,6152,547,8352
Banka,749,921,200,1870
Begusarai,1930,1960,1324,5214
Bhagalpur,1735,2489,2797,7021
Bhojpur,1215,1927,1382,4524
Buxar,1074,613,770,2457
Darbhanga,2020,2464,2723,7207
Gaya,3038,1831,3853,8722
Gopalganj,2121,1455,116,3692
Jamui,927,877,36,1840
Jehanabad,236,443,654,1333
Kaimur (Bhabua),935,522,158,1615
Katihar,1387,1536,1233,4156
Khagaria,901,817,76,1794
Kishanganj,410,862,655,1927
Lakhisarai,698,434,89,1221
Madhepura,1480,1326,41,2847
Madhubani,3319,2670,65,6054
Munger,585,675,656,1916
Muzaffarpur,7057,5085,6064,18206
Nalanda,1470,1895,947,4312
Nawada,737,2184,106,3027
Pashchim Champaran,2384,671,648,3703
Patna,7293,12623,30776,50692
Purbi Champaran,4248,720,1068,6036
Purnia,1732,2069,2018,5819
Rohtas,1464,1687,1011,4162
Saharsa,792,1381,597,2770
Samastipur,3589,2409,238,6236
Saran,3964,1600,1679,7243
Sheikhpura,471,339,35,845
Sheohar,465,418,26,909
Sitamarhi,1936,2035,79,4050
Siwan,1643,1939,1487,5069
Supaul,1636,1040,32,2708
Vaishali,3317,2558,1544,7419
