District,"No of cases pending
as on 31.12.2024 No.",Amt.,"No. of cases filed
during the quarter
March 2025 No.",Amt.,"No. of cases disposed
during the quarter
March 2025 No.",Amt.,"No. of cases pending
as on 31.03.2025 No.",Amt.
Araria,6781,58,143,2,182,3,6742,58
Arwal,3063,54,191,4,335,5,2919,53
Aurangabad,8236,129,729,13,783,13,8182,129
Banka,28213,333,450,7,493,6,28170,334
Begusarai,13025,171,646,6,379,5,13292,171
Bhagalpur,30467,378,876,12,818,10,30525,380
Bhojpur,10864,164,532,10,1056,18,10340,156
Buxar,8372,130,816,16,887,3,8301,144
Darbhanga,2483,32,1157,15,229,3,3411,45
Gaya,5685,65,404,13,328,6,5761,71
Gopalganj,8330,92,1096,19,467,6,8959,104
Jamui,7919,100,477,9,63,0,8333,108
Jehanabad,3665,53,1958,31,214,3,5409,81
Kaimur (Bhabua),14884,177,266,13,767,10,14383,180
Katihar,11893,135,696,11,188,3,12401,143
Khagaria,11280,128,542,8,581,8,11241,128
Kishanganj,9445,88,834,10,163,3,10116,95
Lakhisarai,5816,86,141,2,305,5,5652,83
Madhepura,7103,75,67,4,359,4,6811,74
Madhubani,5167,69,532,18,338,4,5361,83
Munger,12509,129,543,9,258,3,12794,135
Muzaffarpur,19876,195,2259,21,656,6,21479,210
Nalanda,9642,121,202,7,264,5,9580,122
Nawada,6200,96,182,6,617,10,5765,92
Pashchim Champaran,16599,119,662,12,336,4,16925,128
Patna,11913,185,1201,25,882,11,12232,199
Purbi Champaran,21881,225,1659,19,1039,12,22501,232
Purnia,13114,127,558,11,401,6,13271,132
Rohtas,14346,281,447,17,2463,59,12330,240
Saharsa,5458,62,240,3,436,3,5262,62
Samastipur,12666,131,484,8,674,10,12476,129
Saran,9669,121,1171,17,535,8,10305,130
Sheikhpura,4430,47,235,4,320,5,4345,47
Sheohar,7437,44,113,3,41,1,7509,46
Sitamarhi,7235,53,450,9,106,2,7579,60
Siwan,6582,71,2590,25,338,7,8834,90
Supaul,5059,56,365,5,500,6,4924,55
Vaishali,7633,69,798,15,131,2,8300,83
