district,priority_sector_agriculture_target,achie,achie,msme_target,achie,achie,other_priority_sector_target,achie,achie,total_priority_sector_target,achie,achie,non_priority_sector_target,achie,achie,grand_total_target,achie,achie
Araria,2065.11,67.83,67.83,2072.95,67.83,67.83,837.13,67.83,67.83,4975.19,67.83,67.83,1436.96,67.83,67.83,6412.15,67.83,67.83
Arwal,804.07,35.54,35.54,724.20,35.54,35.54,104.82,35.54,35.54,1633.09,35.54,35.54,538.64,35.54,35.54,2171.73,35.54,35.54
Aurangabad,4505.06,46.88,46.88,1962.85,46.88,46.88,605.08,46.88,46.88,7072.99,46.88,46.88,1632.12,46.88,46.88,8705.11,46.88,46.88
Banka,1708.87,48.53,48.53,1471.25,48.53,48.53,646.07,48.53,48.53,3826.19,48.53,48.53,1018.31,48.53,48.53,4844.50,48.53,48.53
Begusarai,3550.54,75.51,75.51,3135.65,75.51,75.51,758.66,75.51,75.51,7444.85,75.51,75.51,2042.04,75.51,75.51,9486.89,75.51,75.51
Bhagalpur,3986.51,57.93,57.93,4064.51,57.93,57.93,1029.10,57.93,57.93,9080.12,57.93,57.93,2883.96,57.93,57.93,11964.08,57.93,57.93
Bhojpur,3803.22,48.29,48.29,3037.38,48.29,48.29,426.26,48.29,48.29,7266.86,48.29,48.29,1769.05,48.29,48.29,9035.91,48.29,48.29
Buxar,3551.06,35.32,35.32,1513.00,35.32,35.32,259.31,35.32,35.32,5323.37,35.32,35.32,1320.72,35.32,35.32,6644.09,35.32,35.32
Darbhanga,3614.91,61.82,61.82,3032.57,61.82,61.82,577.83,61.82,61.82,7225.31,61.82,61.82,2157.43,61.82,61.82,9382.74,61.82,61.82
Gaya,4601.42,65.49,65.49,4422.00,65.49,65.49,943.91,65.49,65.49,9967.33,65.49,65.49,3948.82,65.49,65.49,13916.15,65.49,65.49
Gopalganj,4121.55,47.96,47.96,1602.46,47.96,47.96,299.58,47.96,47.96,6023.59,47.96,47.96,1419.28,47.96,47.96,7442.87,47.96,47.96
Jamui,1572.59,49.44,49.44,1195.49,49.44,49.44,361.56,49.44,49.44,3129.64,49.44,49.44,834.19,49.44,49.44,3963.83,49.44,49.44
Jehanabad,1260.05,41.39,41.39,1284.99,41.39,41.39,218.39,41.39,41.39,2763.43,41.39,41.39,884.57,41.39,41.39,3648.00,41.39,41.39
Kaimur (Bhabua),2833.68,45.62,45.62,1482.82,45.62,45.62,320.53,45.62,45.62,4637.03,45.62,45.62,1036.60,45.62,45.62,5673.63,45.62,45.62
Katihar,2403.56,61.16,61.16,2768.31,61.16,61.16,877.40,61.16,61.16,6049.27,61.16,61.16,1828.66,61.16,61.16,7877.93,61.16,61.16
Khagaria,2067.50,46.28,46.28,1338.97,46.28,46.28,214.19,46.28,46.28,3620.66,46.28,46.28,874.68,46.28,46.28,4495.34,46.28,46.28
Kishanganj,1343.42,70.11,70.11,1363.51,70.11,70.11,659.33,70.11,70.11,3366.26,70.11,70.11,897.51,70.11,70.11,4263.77,70.11,70.11
Lakhisarai,1327.89,42.91,42.91,1068.19,42.91,42.91,140.45,42.91,42.91,2536.53,42.91,42.91,624.08,42.91,42.91,3160.61,42.91,42.91
Madhepura,1836.71,44.45,44.45,1476.00,44.45,44.45,747.48,44.45,44.45,4060.19,44.45,44.45,1216.09,44.45,44.45,5276.28,44.45,44.45
Madhubani,3989.84,45.74,45.74,3015.37,45.74,45.74,703.47,45.74,45.74,7708.68,45.74,45.74,2110.60,45.74,45.74,9819.28,45.74,45.74
Munger,1721.64,42.78,42.78,1641.70,42.78,42.78,361.05,42.78,42.78,3724.39,42.78,42.78,1177.10,42.78,42.78,4901.49,42.78,42.78
Muzaffarpur,5368.16,81.43,81.43,5583.63,81.43,81.43,1275.86,81.43,81.43,12227.65,81.43,81.43,4815.63,81.43,81.43,17043.28,81.43,81.43
Nalanda,3461.58,53.86,53.86,2676.51,53.86,53.86,652.18,53.86,53.86,6790.27,53.86,53.86,1807.86,53.86,53.86,8598.13,53.86,53.86
Nawada,1868.36,57.87,57.87,1421.62,57.87,57.87,547.60,57.87,57.87,3837.58,57.87,57.87,1048.99,57.87,57.87,4886.57,57.87,57.87
Pashchim Champaran,2996.91,67.19,67.19,2562.91,67.19,67.19,611.18,67.19,67.19,6171.00,67.19,67.19,1885.02,67.19,67.19,8056.02,67.19,67.19
Patna,6998.67,138.00,138.00,19653.02,138.00,138.00,5611.74,138.00,138.00,32263.43,138.00,138.00,18372.80,138.00,138.00,50636.23,138.00,138.00
Purbi Champaran,4585.68,69.13,69.13,3560.45,69.13,69.13,845.64,69.13,69.13,8991.77,69.13,69.13,2819.10,69.13,69.13,11810.87,69.13,69.13
Purnia,3387.02,73.71,73.71,3136.49,73.71,73.71,1282.58,73.71,73.71,7806.09,73.71,73.71,2293.91,73.71,73.71,10100.00,73.71,73.71
Rohtas,3236.04,61.19,61.19,2796.50,61.19,61.19,537.50,61.19,61.19,6570.04,61.19,61.19,1870.43,61.19,61.19,8440.47,61.19,61.19
Saharsa,1691.67,64.78,64.78,1318.05,64.78,64.78,249.63,64.78,64.78,3259.35,64.78,64.78,1005.65,64.78,64.78,4265.00,64.78,64.78
Samastipur,4184.91,59.26,59.26,3517.88,59.26,59.26,672.23,59.26,59.26,8375.02,59.26,59.26,2428.82,59.26,59.26,10803.84,59.26,59.26
Saran,3851.56,46.96,46.96,3346.16,46.96,46.96,1562.62,46.96,46.96,8760.34,46.96,46.96,2300.41,46.96,46.96,11060.75,46.96,46.96
Sheikhpura,792.36,44.43,44.43,693.46,44.43,44.43,148.89,44.43,44.43,1634.71,44.43,44.43,469.73,44.43,44.43,2104.44,44.43,44.43
Sheohar,687.83,37.03,37.03,586.50,37.03,37.03,117.24,37.03,37.03,1391.57,37.03,37.03,397.28,37.03,37.03,1788.85,37.03,37.03
Sitamarhi,2335.03,57.26,57.26,2008.13,57.26,57.26,421.54,57.26,57.26,4764.70,57.26,57.26,1391.66,57.26,57.26,6156.36,57.26,57.26
Siwan,3667.92,65.16,65.16,2944.35,65.16,65.16,891.36,65.16,65.16,7503.63,65.16,65.16,1941.49,65.16,65.16,9445.12,65.16,65.16
Supaul,1681.94,56.46,56.46,1603.35,56.46,56.46,292.03,56.46,56.46,3577.32,56.46,56.46,1172.79,56.46,56.46,4750.11,56.46,56.46
Vaishali,3801.66,83.99,83.99,2154.60,83.99,83.99,1777.26,83.99,83.99,7733.52,83.99,83.99,2327.02,83.99,83.99,10060.54,83.99,83.99
