district,animal_husbandry_and_allied_activities_no,amt,farm_production_organistaion_no,amt,dairy_dev_no,amt,farm_mechanisation_no,amt,poultry_no,amt,fisheries_no,amt,rural_godown_no,amt,agri_clinic_no,amt,other_no,amt
Araria,1627,161.34,0,161.34,2511,161.34,10202,161.34,417,161.34,948,161.34,5,161.34,0,161.34,13354,161.34
Arwal,306,19.34,0,19.34,549,19.34,60,19.34,132,19.34,61,19.34,0,19.34,0,19.34,1818,19.34
Aurangabad,852,182.07,0,182.07,779,182.07,3339,182.07,972,182.07,188,182.07,0,182.07,0,182.07,22218,182.07
Banka,927,169.12,0,169.12,5153,169.12,614,169.12,228,169.12,123,169.12,0,169.12,0,169.12,11027,169.12
Begusarai,1943,407.99,0,407.99,5796,407.99,6561,407.99,185,407.99,258,407.99,2,407.99,1,407.99,39319,407.99
Bhagalpur,2203,384.45,0,384.45,5663,384.45,2720,384.45,556,384.45,676,384.45,0,384.45,1,384.45,27850,384.45
Bhojpur,1407,234.82,0,234.82,1695,234.82,409,234.82,125,234.82,202,234.82,0,234.82,0,234.82,29879,234.82
Buxar,1190,179.68,0,179.68,876,179.68,1228,179.68,31,179.68,37,179.68,1,179.68,0,179.68,14492,179.68
Darbhanga,5528,397.51,0,397.51,4922,397.51,8599,397.51,260,397.51,343,397.51,1,397.51,0,397.51,59325,397.51
Gaya,962,260.24,0,260.24,2945,260.24,4903,260.24,721,260.24,480,260.24,0,260.24,0,260.24,26216,260.24
Gopalganj,2186,205.14,0,205.14,3444,205.14,2965,205.14,409,205.14,275,205.14,0,205.14,0,205.14,29151,205.14
Jamui,527,118.76,0,118.76,771,118.76,788,118.76,210,118.76,124,118.76,0,118.76,0,118.76,7652,118.76
Jehanabad,449,38.65,0,38.65,421,38.65,156,38.65,99,38.65,24,38.65,0,38.65,0,38.65,3177,38.65
Kaimur (Bhabua),704,109.67,1,109.67,626,109.67,2189,109.67,66,109.67,47,109.67,1,109.67,0,109.67,9820,109.67
Katihar,841,268.80,0,268.80,4831,268.80,4389,268.80,882,268.80,2279,268.80,2,268.80,0,268.80,38688,268.80
Khagaria,2425,105.11,0,105.11,5747,105.11,3277,105.11,79,105.11,226,105.11,3,105.11,0,105.11,8283,105.11
Kishanganj,734,69.04,0,69.04,1162,69.04,9468,69.04,502,69.04,491,69.04,0,69.04,0,69.04,4830,69.04
Lakhisarai,849,40.05,0,40.05,1596,40.05,257,40.05,41,40.05,91,40.05,0,40.05,0,40.05,3534,40.05
Madhepura,691,158.75,0,158.75,3438,158.75,4513,158.75,141,158.75,140,158.75,1,158.75,0,158.75,24693,158.75
Madhubani,2654,154.89,0,154.89,3452,154.89,8821,154.89,735,154.89,858,154.89,0,154.89,0,154.89,22886,154.89
Munger,1019,72.69,0,72.69,2597,72.69,210,72.69,171,72.69,180,72.69,2,72.69,0,72.69,5367,72.69
Muzaffarpur,32308,630.47,0,630.47,10031,630.47,11072,630.47,555,630.47,624,630.47,3,630.47,1,630.47,46619,630.47
Nalanda,2061,120.05,0,120.05,4295,120.05,1706,120.05,187,120.05,422,120.05,2,120.05,1,120.05,12663,120.05
Nawada,1213,70.89,0,70.89,515,70.89,716,70.89,113,70.89,220,70.89,0,70.89,0,70.89,9359,70.89
Pashchim Champaran,3296,287.26,0,287.26,4699,287.26,12939,287.26,195,287.26,288,287.26,0,287.26,0,287.26,28826,287.26
Patna,114112,1184.55,0,1184.55,9731,1184.55,3260,1184.55,509,1184.55,684,1184.55,4,1184.55,2,1184.55,81558,1184.55
Purbi Champaran,3025,404.74,0,404.74,6122,404.74,10170,404.74,437,404.74,493,404.74,0,404.74,0,404.74,42213,404.74
Purnia,744,251.96,1,251.96,5436,251.96,5314,251.96,821,251.96,1422,251.96,27,251.96,0,251.96,20864,251.96
Rohtas,629,180.06,0,180.06,2053,180.06,2642,180.06,188,180.06,350,180.06,4,180.06,0,180.06,18124,180.06
Saharsa,591,91.74,0,91.74,4154,91.74,4293,91.74,152,91.74,537,91.74,0,91.74,0,91.74,9221,91.74
Samastipur,4922,406.30,0,406.30,7246,406.30,8679,406.30,230,406.30,387,406.30,2,406.30,0,406.30,30500,406.30
Saran,1757,429.20,0,429.20,4675,429.20,2696,429.20,520,429.20,615,429.20,0,429.20,0,429.20,65548,429.20
Sheikhpura,1296,55.37,3,55.37,823,55.37,155,55.37,67,55.37,26,55.37,0,55.37,0,55.37,4879,55.37
Sheohar,919,55.55,0,55.55,2265,55.55,1827,55.55,18,55.55,160,55.55,0,55.55,0,55.55,3097,55.55
Sitamarhi,2962,181.41,0,181.41,3219,181.41,9782,181.41,275,181.41,195,181.41,0,181.41,0,181.41,15597,181.41
Siwan,13000,247.54,3,247.54,3655,247.54,4430,247.54,482,247.54,351,247.54,0,247.54,0,247.54,29950,247.54
Supaul,566,40.78,0,40.78,1212,40.78,3984,40.78,72,40.78,278,40.78,0,40.78,0,40.78,2380,40.78
Vaishali,3025,279.41,3,279.41,3610,279.41,6106,279.41,504,279.41,266,279.41,1,279.41,0,279.41,19716,279.41
