district,target_no,amt,achie_no,amt,achie_no,amt,outstanding_no,amt,npa_no,amt,npa_no,amt
Araria,1154,26.91,11.87,26.91,11.87,26.91,743,26.91,28.13,26.91,28.13,26.91
Arwal,430,52.79,12.56,52.79,12.56,52.79,398,52.79,43.47,52.79,43.47,52.79
Aurangabad,2175,49.12,13.89,49.12,13.89,49.12,1632,49.12,41.67,49.12,41.67,49.12
Banka,2215,25.78,5.64,25.78,5.64,25.78,595,25.78,26.55,25.78,26.55,25.78
Begusarai,3902,21.85,9.82,21.85,9.82,21.85,1810,21.85,22.54,21.85,22.54,21.85
Bhagalpur,3536,7.47,21.07,7.47,21.07,7.47,2111,7.47,10.33,7.47,10.33,7.47
Bhojpur,1585,33.70,21.26,33.70,21.26,33.70,1438,33.70,29.97,33.70,29.97,33.70
Buxar,1019,29.47,18.74,29.47,18.74,29.47,816,29.47,29.17,29.47,29.17,29.47
Darbhanga,2215,17.34,24.88,17.34,24.88,17.34,2477,17.34,18.93,17.34,18.93,17.34
Gaya,2338,17.02,49.96,17.02,49.96,17.02,3784,17.02,19.61,17.02,19.61,17.02
Gopalganj,1083,23.41,16.07,23.41,16.07,23.41,814,23.41,28.01,23.41,28.01,23.41
Jamui,1264,31.22,6.65,31.22,6.65,31.22,366,31.22,28.69,31.22,28.69,31.22
Jehanabad,803,44.23,22.42,44.23,22.42,44.23,798,44.23,40.73,44.23,40.73,44.23
Kaimur (Bhabua),917,49.70,9.71,49.70,9.71,49.70,591,49.70,43.32,49.70,43.32,49.70
Katihar,3028,17.38,6.31,17.38,6.31,17.38,814,17.38,24.57,17.38,24.57,17.38
Khagaria,827,30.86,11.73,30.86,11.73,30.86,576,30.86,34.20,30.86,34.20,30.86
Kishanganj,642,14.05,17.91,14.05,17.91,14.05,496,14.05,23.99,14.05,23.99,14.05
Lakhisarai,115,40.69,84.35,40.69,84.35,40.69,568,40.69,33.10,40.69,33.10,40.69
Madhepura,1975,28.65,4.76,28.65,4.76,28.65,530,28.65,30.75,28.65,30.75,28.65
Madhubani,4374,25.57,8.28,25.57,8.28,25.57,2137,25.57,27.23,25.57,27.23,25.57
Munger,1072,20.78,17.07,20.78,17.07,20.78,742,20.78,21.02,20.78,21.02,20.78
Muzaffarpur,4062,16.55,21.76,16.55,21.76,16.55,3789,16.55,19.45,16.55,19.45,16.55
Nalanda,2048,43.17,15.43,43.17,15.43,43.17,1840,43.17,41.36,43.17,41.36,43.17
Nawada,904,35.60,16.48,35.60,16.48,35.60,801,35.60,34.83,35.60,34.83,35.60
Pashchim Champaran,2333,23.51,12.26,23.51,12.26,23.51,1271,23.51,25.96,23.51,25.96,23.51
Patna,15599,9.23,27.56,9.23,27.56,9.23,13307,9.23,12.62,9.23,12.62,9.23
Purbi Champaran,2944,17.21,15.96,17.21,15.96,17.21,1791,17.21,20.71,17.21,20.71,17.21
Purnia,3318,15.28,10.46,15.28,10.46,15.28,1482,15.28,17.48,15.28,17.48,15.28
Rohtas,1901,39.16,16.94,39.16,16.94,39.16,1782,39.16,36.87,39.16,36.87,39.16
Saharsa,761,26.75,17.87,26.75,17.87,26.75,725,26.75,30.34,26.75,30.34,26.75
Samastipur,3134,24.32,15.00,24.32,15.00,24.32,2130,24.32,24.27,24.32,24.27,24.32
Saran,5599,31.64,5.79,31.64,5.79,31.64,1548,31.64,34.43,31.64,34.43,31.64
Sheikhpura,535,37.07,12.71,37.07,12.71,37.07,375,37.07,35.73,37.07,35.73,37.07
Sheohar,346,34.30,12.43,34.30,12.43,34.30,159,34.30,33.33,34.30,33.33,34.30
Sitamarhi,969,23.41,27.55,23.41,27.55,23.41,1243,23.41,27.11,23.41,27.11,23.41
Siwan,2894,35.89,8.15,35.89,8.15,35.89,1435,35.89,34.29,35.89,34.29,35.89
Supaul,943,37.93,10.18,37.93,10.18,37.93,694,37.93,35.73,37.93,35.73,37.93
Vaishali,12276,30.08,3.27,30.08,3.27,30.08,1860,30.08,34.09,30.08,34.09,30.08
