district,msme_micro_enterprises_manufacturing_service_including_khadi,amt,small_enterprises_manufacturing_service_s_a_c,amt,medium_enterprises_manufacturing_service_a_c,amt,other_finance_to_msmes_as_indicated_in_master_direction_on_p,amt,total_msmes_ps_a_c,amt
Araria,41121,1300.59,572,1300.59,36,1300.59,8,1300.59,41737,1300.59
Arwal,7444,231.84,179,231.84,53,231.84,2,231.84,7678,231.84
Aurangabad,22926,1141.97,529,1141.97,118,1141.97,15,1141.97,23588,1141.97
Banka,20509,575.29,258,575.29,1,575.29,12,575.29,20780,575.29
Begusarai,51161,2761.25,1563,2761.25,181,2761.25,9,2761.25,52914,2761.25
Bhagalpur,65275,2832.37,1096,2832.37,263,2832.37,24,2832.37,66658,2832.37
Bhojpur,31394,1191.20,615,1191.20,30,1191.20,4,1191.20,32043,1191.20
Buxar,18724,720.87,663,720.87,47,720.87,12,720.87,19446,720.87
Darbhanga,67130,2001.84,914,2001.84,76,2001.84,20,2001.84,68140,2001.84
Gaya,58442,3003.29,1595,3003.29,155,3003.29,11,3003.29,60203,3003.29
Gopalganj,33447,1084.73,388,1084.73,222,1084.73,31,1084.73,34088,1084.73
Jamui,20634,496.15,265,496.15,17,496.15,20,496.15,20936,496.15
Jehanabad,17447,464.79,293,464.79,47,464.79,1,464.79,17788,464.79
Kaimur (Bhabua),14255,537.84,342,537.84,18,537.84,10,537.84,14625,537.84
Katihar,37079,1343.10,698,1343.10,68,1343.10,14,1343.10,37859,1343.10
Khagaria,19493,529.33,292,529.33,9,529.33,8,529.33,19802,529.33
Kishanganj,28050,646.37,251,646.37,17,646.37,9,646.37,28327,646.37
Lakhisarai,11215,325.59,215,325.59,3,325.59,2,325.59,11435,325.59
Madhepura,28328,636.56,274,636.56,34,636.56,8,636.56,28644,636.56
Madhubani,51443,1338.83,670,1338.83,32,1338.83,33,1338.83,52178,1338.83
Munger,22759,581.16,492,581.16,40,581.16,13,581.16,23304,581.16
Muzaffarpur,112362,4727.66,2163,4727.66,170,4727.66,57,4727.66,114752,4727.66
Nalanda,44144,1488.69,1143,1488.69,78,1488.69,29,1488.69,45394,1488.69
Nawada,22410,775.91,918,775.91,77,775.91,12,775.91,23417,775.91
Pashchim Champaran,68178,1577.26,799,1577.26,45,1577.26,14,1577.26,69036,1577.26
Patna,139989,18244.32,7829,18244.32,1810,18244.32,149,18244.32,149777,18244.32
Purbi Champaran,73708,2362.50,953,2362.50,106,2362.50,32,2362.50,74799,2362.50
Purnia,68513,2796.65,1086,2796.65,87,2796.65,32,2796.65,69718,2796.65
Rohtas,35908,1678.60,855,1678.60,94,1678.60,24,1678.60,36881,1678.60
Saharsa,34461,881.43,380,881.43,23,881.43,10,881.43,34874,881.43
Samastipur,50794,2117.77,1131,2117.77,58,2117.77,50,2117.77,52033,2117.77
Saran,63208,1604.95,643,1604.95,43,1604.95,45,1604.95,63939,1604.95
Sheikhpura,8037,306.20,197,306.20,7,306.20,22,306.20,8263,306.20
Sheohar,7870,176.58,55,176.58,7,176.58,1,176.58,7933,176.58
Sitamarhi,37603,1189.59,460,1189.59,42,1189.59,12,1189.59,38117,1189.59
Siwan,67843,1582.90,622,1582.90,61,1582.90,39,1582.90,68565,1582.90
Supaul,30568,691.02,385,691.02,33,691.02,4,691.02,30990,691.02
Vaishali,60147,1822.88,697,1822.88,53,1822.88,47,1822.88,60944,1822.88
