district,target,forwarded_to_bank_no_of_prj_f,mm_involve_in_lakh_g,sanctioned_by_bank_no_of_prj_h,mm_involve_in_lakh_i,sanction,margin_money_claimed_no_of_prj_j,mm_in_lakh_k,disbursement_made_by_bank_no_of_prj_l,mm_in_lakh_m,disbursement,no_of_applications_returned_by_bank_no_of_prj_p,mm_involve_in_lakh_q,return,pending_at_bank_no_of_prj_r,mm_involve_in_lakh_s,pending_for_mm_disbursement_no_of_prj_t,mm_in_lakh_u
Araria,141,581,1665.59,163,372.12,115.60,199,477.46,104,260.91,73.76,340,1012.15,58.52,80,230.9,112,266.97
Arwal,110,276,947.67,72,188.06,65.45,86,221.75,48,129.45,43.64,165,605.94,59.78,42,149.83,44,108.82
Aurangabad,146,844,2696.67,192,528.03,131.51,219,588.94,134,368.83,91.78,595,1964.7,70.50,74,239.29,120,334
Banka,124,829,2254.71,222,368.37,179.03,258,446.93,102,177.85,82.26,553,1700.44,66.71,57,161.68,174,312.29
Begusarai,127,943,2684.14,320,635.59,251.97,431,932.30,222,481.24,174.80,552,1776.63,58.54,80,253.09,272,569.8
Bhagalpur,114,1419,4020.06,444,971.87,389.47,514,1214.15,231,540.17,202.63,880,2680.7,62.02,114,376.78,328,815.22
Bhojpur,132,1259,4588.95,205,524.9,155.30,246,635.87,120,339.42,90.91,824,3183.99,65.45,243,876,157,401.82
Buxar,127,539,1667.43,165,369.55,129.92,212,509.33,99,295.43,77.95,274,945.54,50.83,114,365.21,144,336.48
Darbhanga,123,1320,4232.88,291,786,236.59,336,870.85,124,339.15,100.81,825,2736.62,62.50,218,656.27,229,605.78
Gaya,136,1505,5489.39,263,987.47,193.38,441,1428.44,265,874.52,194.85,1005,3708.43,66.78,262,865.07,209,719.76
Gopalganj,129,880,3082.67,202,562.76,156.59,239,756.68,135,449.15,104.65,516,1813.26,58.64,175,662.8,146,457.28
Jamui,138,626,1908.67,166,404.1,120.29,187,416.28,112,289.8,81.16,424,1346.75,67.73,39,143.9,110,253.44
Jehanabad,117,382,1428.02,90,268.87,76.92,120,362.66,77,262.87,65.81,266,1012.54,69.63,28,130.76,61,181.97
Kaimur (Bhabua),129,562,1888.53,99,296.41,76.74,160,497.05,62,215.44,48.06,374,1310.53,66.55,92,278.27,114,344.36
Katihar,138,716,2279.53,178,496.87,128.99,254,659.79,114,332.89,82.61,461,1480.79,64.39,81,280.31,169,451.16
Khagaria,112,640,1976.78,150,376.82,133.93,189,453.29,100,244.11,89.29,392,1300.61,61.25,100,279.92,118,287.31
Kishanganj,135,535,1607.46,119,337.77,88.15,140,400.47,73,253.87,54.07,359,1084.46,67.10,62,173.51,81,202.35
Lakhisarai,130,276,927.54,73,226.16,56.15,90,247.05,42,96.32,32.31,177,551.77,64.13,28,157.72,56,166.36
Madhepura,119,660,1888.10,107,194.74,89.92,147,295.39,54,103.27,45.38,476,1406.8,72.12,81,252.42,102,214.35
Madhubani,139,1734,5657.35,373,962.22,268.35,402,940.64,143,357.85,102.88,1097,3617.92,63.26,267,1005.43,293,685
Munger,114,734,1681.01,210,335.93,184.21,238,408.27,105,180.63,92.11,422,1093.55,57.49,104,242.1,152,266.37
Muzaffarpur,151,1599,6552.23,402,1374.34,266.23,505,1660.44,211,754.76,139.74,920,3875.03,57.54,302,1293.67,350,1171.03
Nalanda,138,1033,3595.55,247,713.62,178.99,367,1162.44,131,401.49,94.93,611,2288.08,59.15,188,668.61,266,901.58
Nawada,120,719,2807.75,122,493.84,101.67,175,688.64,103,394.19,85.83,502,1943.78,69.82,102,380.95,112,454.38
Pashchim Champaran,124,997,3817.67,182,603.85,146.77,297,933.82,141,494.57,113.71,739,2782.24,74.12,85,354.77,189,607.46
Patna,205,2086,8752.91,503,1801.24,245.37,697,2400.93,345,973.49,168.29,1392,5951.43,66.73,219,1006.76,420,1763.53
Purbi Champaran,124,1241,5099.71,275,955.09,221.77,361,1147.72,150,478.79,120.97,834,3460.52,67.20,155,705.39,244,787.18
Purnia,132,1206,3797.98,185,509.38,140.15,295,797.10,145,414.76,109.85,888,2727.9,73.63,141,500.35,181,500.99
Rohtas,131,1321,4044.28,249,637.5,190.08,367,986.62,184,490.16,140.46,909,2856.5,68.81,176,548.93,218,602.15
Saharsa,119,663,1846.02,118,244,99.16,180,367.11,58,111.01,48.74,419,1223.45,63.20,126,325.27,127,265.64
Samastipur,119,1229,4183.27,345,852.64,289.92,412,1151.51,222,689,186.55,745,2763.56,60.62,147,539.1,257,704.26
Saran,124,1298,6115.21,215,920.34,173.39,343,1438.29,200,902.19,161.29,857,4147.34,66.02,235,1030.2,168,677.55
Sheikhpura,137,473,1335.22,95,229.9,69.34,108,248.38,55,139.69,40.15,296,867.67,62.58,83,218.59,63,148.22
Sheohar,133,302,899.51,78,210.53,58.65,74,180.02,31,73.24,23.31,185,551.78,61.26,44,130.98,52,124.71
Sitamarhi,125,979,3617.02,221,657.81,176.80,279,835.59,115,368.66,92.00,631,2382.36,64.45,134,505.03,185,569.02
Siwan,137,1383,4690.47,258,868.03,188.32,343,1178.89,203,776.09,148.18,804,2775.17,58.13,336,1039.73,208,671.97
Supaul,121,494,1522.45,169,456.18,139.67,233,674.20,117,327.21,96.69,264,838.79,53.44,68,195.53,134,400.23
Vaishali,125,1116,5418.40,263,1130.09,210.40,339,1319.85,138,517.09,110.40,711,3404.79,63.71,156,897,238,997.07
