District,"Total No. of
Enrolment under
PMJJBY During FY
2024-25 as on
31.03.2025","Total No. of
Enrolment
under
PMJJBY","Total No of
eligible cases
under PMJJBY","Total No of
renewals
under
PMJJBY","Total No. of
Enrolment under
PMSBY During FY
2024-25 as on
31.03.2025","Total No. of
Enrolment
under PMSBY","Total No. of
eligible cases
under
PMSBY","Total No. of
renewals
under PMSBY","Total No. of
Enrolment under
APY During FY
2024-25","Total No. of
Enrolment
under APY"
Araria,74541,217362,1573649,124851,140965,728945,2323503,573556,29369,167395
Arwal,27396,97944,522782,58275,46739,255201,755227,184827,9771,47796
Aurangabad,82540,325342,1597242,208660,139622,906840,2415829,646690,35040,188200
Banka,58540,213696,1308119,133676,99633,546480,1834914,442269,23386,127098
Begusarai,98119,361320,1977977,215194,151849,799693,2713692,674922,34330,192908
Bhagalpur,90389,306440,2186425,183255,172148,797136,2983909,644631,30724,167066
Bhojpur,73813,272560,1731025,185142,152064,962136,2474301,739661,39975,185146
Buxar,51227,194405,1025522,120394,113988,611461,1556111,426981,22056,114819
Darbhanga,87661,348567,2577449,198220,193683,869619,3536925,644517,34944,176026
Gaya,137096,529891,3014771,356860,270528,1515243,4081256,1204109,68405,350315
Gopalganj,64588,271542,2142618,177245,138243,747150,2921536,586718,34902,167174
Jamui,69705,277157,1082390,172388,101068,614421,1515775,543785,17582,106511
Jehanabad,26952,102514,708079,68464,60135,365905,1024122,263410,13608,70355
Kaimur (Bhabua),43091,168303,1016392,104527,98056,530296,1476058,400066,21976,94325
Katihar,81073,266313,2119892,153711,160492,730092,2843954,535900,32350,143181
Khagaria,69335,185863,1058537,115688,128723,454651,1531735,393532,25307,95623
Kishanganj,38925,126111,1102895,72359,84647,447206,1615571,352633,11927,84581
Lakhisarai,28276,110380,651682,72392,51711,267840,825047,247759,9580,51566
Madhepura,58635,209157,1238833,127843,100085,573336,1749707,448185,20727,132586
Madhubani,96415,381210,2887949,220355,199904,1068306,3925387,811917,42227,203419
Munger,50320,167348,955320,103370,87115,401556,1287923,341806,17474,81241
Muzaffarpur,123427,514542,3752993,287622,247926,1344187,5098883,996744,64181,321440
Nalanda,76485,303179,1708549,189860,147279,1113360,2674660,770000,27385,204486
Nawada,63345,253909,1306591,151590,123557,805999,1953591,600546,30590,164161
Pashchim Champaran,113771,385120,2629398,204988,224219,1089705,3641484,825099,42028,204664
Patna,176052,631402,6447215,426801,428267,1837664,8711462,1422439,75291,343363
Purbi Champaran,135029,461847,3199397,268035,242222,1190430,4556624,912466,42098,189872
Purnia,93654,303324,2097649,192158,196269,1004577,3013612,794414,36033,238319
Rohtas,64163,261056,1903784,167355,117414,866608,2772129,585933,20593,146421
Saharsa,60787,198873,1268632,107481,102885,524732,1714260,400420,17740,106895
Samastipur,148305,480779,2919947,309798,280298,1233956,4062784,1074626,57535,241525
Saran,107728,403968,3001499,244831,210097,1118072,4242634,860735,58235,229654
Sheikhpura,22877,90152,425381,57171,35995,245060,588250,223369,7684,39935
Sheohar,14216,44298,321292,28884,25281,130548,487752,106232,4478,26239
Sitamarhi,70310,303031,1965811,169598,154585,824096,2804760,615747,27560,137649
Siwan,72355,332986,3142759,212558,170958,1004602,3788131,777757,44231,210983
Supaul,57649,239405,1595939,145512,116606,660685,2172249,517670,28223,128597
Vaishali,92895,360943,3388294,212260,194145,989082,3614840,745729,44305,191774
