district,disbursement_no,amt,outstanding_no,amt,npa_no,amt,age_npa_no,amt
Araria,12,0.00,12,0.00,0.00,0.00,0.00,0.00
Arwal,0,0.00,0,0.00,0.00,0.00,0.00,0.00
Aurangabad,19,0.00,19,0.00,0.00,0.00,0.00,0.00
Banka,3,0.00,4,0.00,0.00,0.00,0.00,0.00
Begusarai,40,0.00,40,0.00,0.00,0.00,0.00,0.00
Bhagalpur,30,0.00,30,0.00,0.00,0.00,0.00,0.00
Bhojpur,21,0.00,21,0.00,0.00,0.00,0.00,0.00
Buxar,6,0.00,6,0.00,0.00,0.00,0.00,0.00
Darbhanga,24,0.00,24,0.00,0.00,0.00,0.00,0.00
Gaya,65,0.00,65,0.00,0.00,0.00,0.00,0.00
Gopalganj,7,0.00,7,0.00,0.00,0.00,0.00,0.00
Jamui,4,0.00,4,0.00,0.00,0.00,0.00,0.00
Jehanabad,3,0.00,3,0.00,0.00,0.00,0.00,0.00
Kaimur (Bhabua),6,0.00,6,0.00,0.00,0.00,0.00,0.00
Katihar,11,0.00,11,0.00,0.00,0.00,0.00,0.00
Khagaria,7,0.00,7,0.00,0.00,0.00,0.00,0.00
Kishanganj,7,0.00,5,0.00,0.00,0.00,0.00,0.00
Lakhisarai,4,0.00,4,0.00,0.00,0.00,0.00,0.00
Madhepura,15,0.00,14,0.00,0.00,0.00,0.00,0.00
Madhubani,50,0.00,50,0.00,0.00,0.00,0.00,0.00
Munger,17,0.00,16,0.00,0.00,0.00,0.00,0.00
Muzaffarpur,28,0.00,28,0.00,0.00,0.00,0.00,0.00
Nalanda,6,0.00,5,0.00,0.00,0.00,0.00,0.00
Nawada,25,0.00,25,0.00,0.00,0.00,0.00,0.00
Pashchim Champaran,33,0.00,32,0.00,0.00,0.00,0.00,0.00
Patna,153,0.00,153,0.00,0.00,0.00,0.00,0.00
Purbi Champaran,61,0.00,61,0.00,0.00,0.00,0.00,0.00
Purnia,34,0.00,34,0.00,0.00,0.00,0.00,0.00
Rohtas,31,0.00,30,0.00,0.00,0.00,0.00,0.00
Saharsa,12,0.00,12,0.00,0.00,0.00,0.00,0.00
Samastipur,11,0.00,11,0.00,0.00,0.00,0.00,0.00
Saran,20,0.00,20,0.00,0.00,0.00,0.00,0.00
Sheikhpura,4,0.00,4,0.00,0.00,0.00,0.00,0.00
Sheohar,3,0.00,3,0.00,0.00,0.00,0.00,0.00
Sitamarhi,18,0.00,18,0.00,0.00,0.00,0.00,0.00
Siwan,45,0.00,44,0.00,0.00,0.00,0.00,0.00
Supaul,39,0.00,39,0.00,0.00,0.00,0.00,0.00
Vaishali,19,0.00,19,0.00,0.00,0.00,0.00,0.00
