district,loans_to_weaker_sections_under_priority_sector_no,amt,out_of_loans_to_weaker_sections_in_psl_loans_to_individual_w,amt,out_of_agriculture_loans_to_small_marginal_farmers_no,amt
Araria,128542,641.02,31478,641.02,52358,641.02
Arwal,19556,200.03,5519,200.03,12606,200.03
Aurangabad,90768,753.64,31195,753.64,62001,753.64
Banka,78430,284.18,24168,284.18,30457,284.18
Begusarai,150662,913.58,36861,913.58,69226,913.58
Bhagalpur,135922,889.96,38443,889.96,59651,889.96
Bhojpur,167012,699.05,32040,699.05,57632,699.05
Buxar,65907,413.43,20658,413.43,38060,413.43
Darbhanga,176261,677.31,48191,677.31,73142,677.31
Gaya,369648,936.15,125890,936.15,77670,936.15
Gopalganj,141505,1040.74,30022,1040.74,96551,1040.74
Jamui,62699,386.54,18652,386.54,40186,386.54
Jehanabad,31712,266.95,5501,266.95,19855,266.95
Kaimur (Bhabua),69970,689.36,20455,689.36,37610,689.36
Katihar,160383,675.07,26221,675.07,55017,675.07
Khagaria,70783,438.90,23415,438.90,44774,438.90
Kishanganj,113160,505.89,17543,505.89,43458,505.89
Lakhisarai,37982,263.70,9118,263.70,19953,263.70
Madhepura,94362,497.50,28297,497.50,44987,497.50
Madhubani,154722,1108.05,40054,1108.05,105931,1108.05
Munger,46359,270.41,15998,270.41,24112,270.41
Muzaffarpur,275848,1784.61,117087,1784.61,191529,1784.61
Nalanda,106252,742.16,29064,742.16,60336,742.16
Nawada,74358,563.74,29001,563.74,58958,563.74
Pashchim Champaran,179594,1257.35,64147,1257.35,125854,1257.35
Patna,787451,2368.05,300284,2368.05,304955,2368.05
Purbi Champaran,295724,1879.49,67823,1879.49,173034,1879.49
Purnia,161423,971.94,44320,971.94,84461,971.94
Rohtas,104392,828.07,31463,828.07,64262,828.07
Saharsa,79980,604.21,27604,604.21,50182,604.21
Samastipur,162312,1223.79,55255,1223.79,97677,1223.79
Saran,198092,1060.51,61086,1060.51,105200,1060.51
Sheikhpura,24984,201.19,7971,201.19,15953,201.19
Sheohar,26547,169.91,4668,169.91,15881,169.91
Sitamarhi,109380,712.21,29878,712.21,64176,712.21
Siwan,416551,994.83,56984,994.83,104731,994.83
Supaul,82356,667.83,11213,667.83,49864,667.83
Vaishali,823631,1018.90,40514,1018.90,90462,1018.90
