District,Non Priority Sector Agriculture (NPS) A/c,Amt,Education (NPS) A/c,Amt,Housing (NPS) A/c,Amt,Personal Loans under NPS A/c,Amt,Others NPS A/c,Amt,Total Non Priority Sector A/c,Amt
Araria,67,3.26,19,3.36,319,56.62,3098,128.75,38617,895.66,42120,1087.65
Arwal,12,0.32,2,0.13,76,11.14,1020,53.27,6163,170.86,7273,235.72
Aurangabad,71,5.55,10,1.72,436,60.98,3453,190.64,20552,649.40,24522,908.29
Banka,40,1.43,8,1.33,149,21.22,1692,77.17,13644,459.25,15533,560.40
Begusarai,375,32.49,43,6.70,1015,183.10,6637,332.29,51899,1438.50,59969,1993.08
Bhagalpur,57,4.92,74,8.46,1627,312.99,6057,342.80,48772,1764.49,56587,2433.66
Bhojpur,51,2.89,14,1.40,870,146.33,4684,251.80,37329,997.10,42948,1399.52
Buxar,114,4.48,10,1.01,367,48.94,3064,156.18,18325,529.42,21880,740.03
Darbhanga,64,4.15,51,7.43,1153,225.07,7205,405.43,63174,1329.46,71647,1971.54
Gaya,53,3.97,300,28.41,1898,294.22,8141,489.23,70697,2118.18,81089,2934.01
Gopalganj,61,3.71,12,1.62,305,46.05,4781,218.46,35696,738.26,40855,1008.10
Jamui,21,2.95,3,0.29,149,29.62,1798,151.81,16349,516.07,18320,700.74
Jehanabad,7,0.10,4,0.47,272,34.64,2131,107.47,15021,348.67,17435,491.35
Kaimur (Bhabua),31,4.40,5,0.75,226,32.34,1932,113.42,12035,440.73,14229,591.64
Katihar,243,4.15,27,3.07,811,114.37,3919,225.70,54954,1092.05,59954,1439.34
Khagaria,73,3.24,5,0.36,166,45.66,2545,118.60,15586,446.11,18375,613.97
Kishanganj,46,5.05,16,1.45,257,38.97,1935,82.27,24362,601.84,26616,729.58
Lakhisarai,42,0.71,5,0.77,124,21.06,1492,71.04,10196,300.29,11859,393.87
Madhepura,50,2.79,9,0.89,217,33.84,1875,105.39,21432,552.12,23583,695.03
Madhubani,89,6.29,28,4.37,526,76.00,5202,261.11,49182,981.38,55027,1329.15
Munger,27,1.05,8,1.56,239,43.52,3373,193.38,19829,677.33,23476,916.84
Muzaffarpur,116,48.02,106,15.38,2089,357.51,12317,745.42,119099,4458.07,133727,5624.40
Nalanda,67,3.26,30,3.29,680,123.56,4619,242.15,38547,952.93,43943,1325.19
Nawada,85,2.03,14,1.57,416,64.93,2950,146.25,26775,546.68,30240,761.46
Pashchim Champaran,110,11.71,25,4.16,591,71.38,5693,298.14,45929,1236.05,52348,1621.44
Patna,438,74.54,718,117.73,13967,3186.92,42922,3254.52,367370,32300.65,425415,38934.36
Purbi Champaran,156,9.34,20,3.92,684,118.05,7907,411.79,84325,1763.80,93092,2306.90
Purnia,133,16.95,37,5.17,1499,228.91,4328,229.25,61250,1512.92,67247,1993.20
Rohtas,47,1.82,14,2.28,582,84.93,4537,246.33,30856,983.18,36036,1318.54
Saharsa,66,3.03,18,3.05,423,71.23,2416,149.53,20200,598.43,23123,825.27
Samastipur,100,10.88,29,3.64,801,133.89,7780,409.85,49152,1175.25,57862,1733.51
Saran,72,3.53,17,2.92,671,95.18,6580,327.91,60919,1273.98,68259,1703.52
Sheikhpura,44,0.60,2,0.11,110,21.67,1027,52.14,5860,225.87,7043,300.39
Sheohar,55,10.26,3,0.61,64,7.95,1015,48.85,5421,115.62,6558,183.29
Sitamarhi,276,62.51,38,5.00,462,70.41,4642,223.15,33016,721.37,38434,1082.44
Siwan,60,3.60,24,3.72,698,115.56,5678,276.74,71909,1176.11,78369,1575.73
Supaul,55,6.23,9,1.48,243,37.53,2292,126.45,20869,745.81,23468,917.50
Vaishali,104,4.99,29,4.12,990,181.08,7173,353.81,110251,1207.87,118547,1751.87
