District,TARGET AMT.,DISBURSED NO. OF AC,AMT.,%AGE ACHIV. AMT.
Araria,1104.36,18614,939.53,85.07
Arwal,385.82,4451,205.19,53.18
Aurangabad,1045.71,14208,1014.52,97.02
Banka,783.81,9710,382.52,48.80
Begusarai,1670.52,33132,1796.58,107.55
Bhagalpur,2165.37,39700,1777.69,82.10
Bhojpur,1618.17,16225,1014.42,62.69
Buxar,806.05,10093,597.09,74.08
Darbhanga,1615.60,35938,1476.66,91.40
Gaya,2355.82,33169,1992.19,84.56
Gopalganj,853.71,12902,676.26,79.21
Jamui,636.90,9662,372.82,58.54
Jehanabad,684.58,11566,406.48,59.38
Kaimur (Bhabua),789.97,11056,417.51,52.85
Katihar,1474.82,19603,950.72,64.46
Khagaria,713.34,9438,436.59,61.20
Kishanganj,726.41,12847,446.23,61.43
Lakhisarai,569.08,6239,339.41,59.64
Madhepura,786.34,10928,451.45,57.41
Madhubani,1606.44,22777,1078.37,67.13
Munger,874.62,9242,456.24,52.16
Muzaffarpur,2974.68,47685,2958.58,99.46
Nalanda,1425.91,36437,1269.55,89.03
Nawada,757.37,11896,692.69,91.46
Pashchim Champaran,1365.40,17388,1021.60,74.82
Patna,10470.16,75629,8467.20,80.87
Purbi Champaran,1896.83,27251,1561.62,82.33
Purnia,1670.97,41110,1870.81,111.96
Rohtas,1489.84,24595,1279.14,85.86
Saharsa,702.19,13125,571.61,81.40
Samastipur,1874.15,32898,1922.48,102.58
Saran,1782.67,27797,1110.73,62.31
Sheikhpura,369.44,4316,245.63,66.49
Sheohar,312.46,3311,122.73,39.28
Sitamarhi,1069.83,17639,883.84,82.61
Siwan,1568.61,37376,1181.27,75.31
Supaul,854.19,12107,525.58,61.53
Vaishali,1147.86,27747,1346.88,117.34
