district,target_no,amt,disbursed_no,amt,achievement_no,amt
Araria,1087,19.28,948,19.28,87.21,19.28
Arwal,575,2.37,61,2.37,10.61,2.37
Aurangabad,1881,2.14,188,2.14,9.99,2.14
Banka,543,11.32,123,11.32,22.65,11.32
Begusarai,2824,2.16,258,2.16,9.14,2.16
Bhagalpur,824,18.77,676,18.77,82.04,18.77
Bhojpur,1499,2.93,202,2.93,13.48,2.93
Buxar,825,1.61,37,1.61,4.48,1.61
Darbhanga,1358,7.85,343,7.85,25.26,7.85
Gaya,2047,6.22,480,6.22,23.45,6.22
Gopalganj,1468,6.95,275,6.95,18.73,6.95
Jamui,446,7.26,124,7.26,27.80,7.26
Jehanabad,449,1.89,24,1.89,5.35,1.89
Kaimur (Bhabua),1398,0.77,47,0.77,3.36,0.77
Katihar,2931,19.41,2279,19.41,77.76,19.41
Khagaria,1096,6.56,226,6.56,20.62,6.56
Kishanganj,471,22.56,491,22.56,104.25,22.56
Lakhisarai,509,4.53,91,4.53,17.88,4.53
Madhepura,677,7.15,140,7.15,20.68,7.15
Madhubani,2432,18.29,858,18.29,35.28,18.29
Munger,922,3.52,180,3.52,19.52,3.52
Muzaffarpur,2455,7.15,624,7.15,25.42,7.15
Nalanda,1585,7.33,422,7.33,26.62,7.33
Nawada,418,14.84,220,14.84,52.63,14.84
Pashchim Champaran,2047,3.15,288,3.15,14.07,3.15
Patna,1163,18.31,684,18.31,58.81,18.31
Purbi Champaran,1896,5.58,493,5.58,26.00,5.58
Purnia,1862,25.17,1422,25.17,76.37,25.17
Rohtas,1508,4.51,350,4.51,23.21,4.51
Saharsa,349,31.76,537,31.76,153.87,31.76
Samastipur,3355,2.73,387,2.73,11.54,2.73
Saran,3771,4.09,615,4.09,16.31,4.09
Sheikhpura,566,2.98,26,2.98,4.59,2.98
Sheohar,546,5.60,160,5.60,29.30,5.60
Sitamarhi,1560,2.92,195,2.92,12.50,2.92
Siwan,4344,2.69,351,2.69,8.08,2.69
Supaul,475,15.70,278,15.70,58.53,15.70
Vaishali,4359,2.62,266,2.62,6.10,2.62
