District,OUTSTANDING LOANS TO WOMEN A/C,AMT.,"LOANS DISBURSED TO WOMEN FROM 01 APRIL TO END OF
CURRENT QUARTER A/C",AMT.
Araria,213348,1500.02,106363,952.04
Arwal,34651,184.95,11746,103.24
Aurangabad,141581,888.23,53164,495.40
Banka,113010,597.14,44456,370.26
Begusarai,302352,2036.69,123651,1231.36
Bhagalpur,232255,2134.04,110757,1283.16
Bhojpur,161854,1064.30,63829,619.29
Buxar,96342,637.86,40611,385.98
Darbhanga,339066,2494.74,149266,1427.93
Gaya,387354,2483.03,165983,1487.69
Gopalganj,188210,1352.63,79763,775.40
Jamui,96456,557.34,39117,388.79
Jehanabad,44761,381.00,15800,206.94
Kaimur (Bhabua),86459,506.51,34519,340.32
Katihar,276723,1873.86,138853,1172.88
Khagaria,120682,720.84,41434,445.49
Kishanganj,138294,1015.53,87456,772.87
Lakhisarai,66473,415.60,23809,251.67
Madhepura,186975,1121.81,69294,589.79
Madhubani,232744,2061.56,99048,1042.73
Munger,85584,647.73,33522,371.34
Muzaffarpur,551621,4363.55,222451,2259.17
Nalanda,144585,1137.50,57573,642.02
Nawada,124063,813.65,49945,489.86
Pashchim Champaran,231548,1803.79,103417,1003.91
Patna,1317087,12838.10,505527,5995.28
Purbi Champaran,435771,2965.63,215672,1806.25
Purnia,250651,2095.20,129870,1246.55
Rohtas,156451,1101.86,57893,624.07
Saharsa,116284,1014.57,56654,550.75
Samastipur,302888,1959.66,119871,1198.00
Saran,315572,2149.34,158865,1422.91
Sheikhpura,38943,269.92,14161,159.09
Sheohar,25238,217.60,10203,113.34
Sitamarhi,137594,1342.83,62510,675.46
Siwan,258541,1879.16,126619,1180.06
Supaul,84881,874.71,44961,461.95
Vaishali,214654,2055.60,109552,1292.35
