District,"Loans to weaker sections
under Priority Sector No.",Amt.,"Out of Loans to weaker
Sections in PSL, loans to
individual women
beneficiaries up to ₹1 lakh No.",Amt.,"Out of Agriculture, loans to
Small & Marginal Farmers No.",Amt.
Araria,246568,2022.55,100856,365.29,157958,1259.89
Arwal,43782,354.57,18806,62.45,34537,270.71
Aurangabad,191593,1570.39,72880,261.35,158939,1270.19
Banka,160081,1167.78,69628,238.77,95308,604.48
Begusarai,341963,2599.22,116415,464.40,208115,1560.83
Bhagalpur,260394,2019.53,128348,510.41,167169,1190.76
Bhojpur,307545,1673.20,90558,318.23,137118,956.61
Buxar,139244,1076.17,54799,209.28,118208,810.47
Darbhanga,360262,2235.07,91564,378.15,145184,959.94
Gaya,693016,3707.63,274495,806.97,241144,1987.42
Gopalganj,265745,2101.82,84731,347.64,153596,1218.39
Jamui,148785,1135.88,62229,258.23,120540,762.81
Jehanabad,59268,614.54,18398,67.47,51042,493.97
Kaimur (Bhabua),124188,1127.51,40997,150.29,107204,940.83
Katihar,323512,2631.57,98993,386.43,137598,1297.50
Khagaria,182072,1332.65,64361,253.68,126749,967.41
Kishanganj,178651,1606.95,62416,271.48,114083,936.69
Lakhisarai,88661,686.95,34349,149.31,65737,449.43
Madhepura,221554,1473.44,62367,226.94,150060,996.14
Madhubani,287289,2293.25,85029,328.97,187075,1176.33
Munger,100152,725.61,48040,186.20,68143,413.30
Muzaffarpur,641709,4159.26,337024,1076.69,462451,2878.78
Nalanda,180048,1686.01,71095,265.13,145354,1333.04
Nawada,150718,1288.75,71089,260.58,126367,1010.39
Pashchim Champaran,361312,2683.57,125485,441.19,232466,1726.05
Patna,1719630,7002.23,946771,2609.56,903341,4135.25
Purbi Champaran,557321,4255.53,152869,569.18,317200,2858.47
Purnia,304206,2692.06,134298,547.78,191932,1586.39
Rohtas,211449,1817.67,85158,281.02,173707,1423.23
Saharsa,158860,1354.86,59059,225.80,115158,1076.24
Samastipur,384648,3004.70,153483,574.15,308503,2045.68
Saran,367917,2537.87,160341,584.11,210733,1634.49
Sheikhpura,57868,497.66,23217,99.41,42385,332.47
Sheohar,47114,481.40,9787,38.41,30454,276.09
Sitamarhi,198985,1928.82,51997,220.48,144413,1282.18
Siwan,748429,3443.32,170910,563.61,215700,1400.42
Supaul,139592,1429.50,30092,150.52,94700,1046.41
Vaishali,1451583,5535.94,108969,448.36,175439,1495.43
