district,sc_a_cs,sanctioned_amt,disbursed_amt,st_a_cs,sanctioned_amt,disbursed_amt,women_general_a_cs,sanctioned_amt,disbursed_amt,total_a_cs,sanctioned_amt,disbursed_amt
Araria,36,26.74,19.97,1,26.74,19.97,104,26.74,19.97,141,26.74,19.97
Arwal,7,5.92,3.81,0,5.92,3.81,39,5.92,3.81,46,5.92,3.81
Aurangabad,31,41.09,26.18,2,41.09,26.18,198,41.09,26.18,231,41.09,26.18
Banka,16,21.68,16.30,1,21.68,16.30,93,21.68,16.30,110,21.68,16.30
Begusarai,44,75.57,58.96,4,75.57,58.96,308,75.57,58.96,356,75.57,58.96
Bhagalpur,44,74.09,49.52,2,74.09,49.52,349,74.09,49.52,395,74.09,49.52
Bhojpur,31,44.63,29.91,4,44.63,29.91,201,44.63,29.91,236,44.63,29.91
Buxar,14,20.95,14.49,2,20.95,14.49,105,20.95,14.49,121,20.95,14.49
Darbhanga,43,58.55,32.42,7,58.55,32.42,217,58.55,32.42,267,58.55,32.42
Gaya,77,89.30,61.03,3,89.30,61.03,380,89.30,61.03,460,89.30,61.03
Gopalganj,13,32.99,18.38,4,32.99,18.38,126,32.99,18.38,143,32.99,18.38
Jamui,21,18.38,11.97,3,18.38,11.97,69,18.38,11.97,93,18.38,11.97
Jehanabad,16,12.34,7.13,0,12.34,7.13,62,12.34,7.13,78,12.34,7.13
Kaimur (Bhabua),30,24.61,17.90,1,24.61,17.90,113,24.61,17.90,144,24.61,17.90
Katihar,26,31.56,23.95,7,31.56,23.95,162,31.56,23.95,195,31.56,23.95
Khagaria,26,30.66,17.20,1,30.66,17.20,120,30.66,17.20,147,30.66,17.20
Kishanganj,18,14.68,9.39,1,14.68,9.39,48,14.68,9.39,67,14.68,9.39
Lakhisarai,12,11.80,8.47,0,11.80,8.47,47,11.80,8.47,59,11.80,8.47
Madhepura,14,17.01,9.56,1,17.01,9.56,87,17.01,9.56,102,17.01,9.56
Madhubani,23,43.53,30.18,1,43.53,30.18,241,43.53,30.18,265,43.53,30.18
Munger,20,25.16,15.50,1,25.16,15.50,116,25.16,15.50,137,25.16,15.50
Muzaffarpur,68,122.43,74.84,6,122.43,74.84,481,122.43,74.84,555,122.43,74.84
Nalanda,49,56.10,39.45,2,56.10,39.45,242,56.10,39.45,293,56.10,39.45
Nawada,17,27.20,18.94,3,27.20,18.94,130,27.20,18.94,150,27.20,18.94
Pashchim Champaran,22,33.28,19.19,3,33.28,19.19,141,33.28,19.19,166,33.28,19.19
Patna,269,439.66,292.44,24,439.66,292.44,1778,439.66,292.44,2071,439.66,292.44
Purbi Champaran,56,60.28,24.71,5,60.28,24.71,214,60.28,24.71,275,60.28,24.71
Purnia,44,76.03,52.09,2,76.03,52.09,272,76.03,52.09,318,76.03,52.09
Rohtas,39,51.46,35.89,4,51.46,35.89,202,51.46,35.89,245,51.46,35.89
Saharsa,12,28.62,16.92,1,28.62,16.92,150,28.62,16.92,163,28.62,16.92
Samastipur,60,76.51,47.09,4,76.51,47.09,283,76.51,47.09,347,76.51,47.09
Saran,35,53.65,31.63,4,53.65,31.63,243,53.65,31.63,282,53.65,31.63
Sheikhpura,20,13.94,10.23,2,13.94,10.23,51,13.94,10.23,73,13.94,10.23
Sheohar,8,8.26,5.29,0,8.26,5.29,39,8.26,5.29,47,8.26,5.29
Sitamarhi,23,31.58,17.58,0,31.58,17.58,126,31.58,17.58,149,31.58,17.58
Siwan,28,38.72,22.39,3,38.72,22.39,184,38.72,22.39,215,38.72,22.39
Supaul,28,26.02,14.82,2,26.02,14.82,110,26.02,14.82,140,26.02,14.82
Vaishali,56,47.93,33.72,1,47.93,33.72,216,47.93,33.72,273,47.93,33.72
